CASEID,ENQUIRYTYPEID,SUBJECTNAME,REASONNAME,TYPENAME,TITLE,OPENEDDATETIMESTRING,CASESTATUS,ADDRESS,ZIP,CLOSEDDATETIMESTRING,LastUpdateDate,EndDate,EndTime,StartDate,StartTime,LATITUDE,LONGITUDE
5000390,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN XKD828 - Pct # 3,01/07/18 10:18,0,GREENLAWN BLVD,78664,04/07/18 16:18,19/02/19 11:18,07/01/2018,10:18 AM,07/01/2018,10:18 AM,30.474238,-97.669226
5000417,101001981,Property,Private Property,Exterior Nuisance - Self Service,Ext: Tall Grass,01/07/18 11:32,0, , ,04/07/18 17:32,19/02/19 11:18,07/01/2018,11:32 AM,07/01/2018,11:32 AM,30.448984,-97.71199
5000422,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,01/07/18 11:46,0, , ,03/07/18 17:46,19/02/19 11:18,07/01/2018,11:46 AM,07/01/2018,11:46 AM,30.450383,-97.712005
5000424,101000323,Public Safety,Police,Suspicious Activity,Police Suspicious Activity,01/07/18 11:51,0,RM 1431,78681,04/07/18 09:51,19/02/19 11:18,07/01/2018,11:51 AM,07/01/2018,11:51 AM,30.562726,-97.699446
5000522,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,01/07/18 17:27,0,N IH 35 FR,78665,04/07/18 11:27,19/02/19 11:18,07/01/2018,05:27 PM,07/01/2018,05:27 PM,30.564489,-97.691381
5000540,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish Veg,01/07/18 19:11,0,FAIRVIEW DR,78665,06/07/18 13:11,19/02/19 11:18,07/01/2018,07:11 PM,07/01/2018,07:11 PM,30.549367,-97.641763
5000579,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,02/07/18 09:56,0,S KENNEY FORT BLVD,78665,06/07/18 23:56,19/02/19 11:18,07/02/2018,09:56 AM,07/02/2018,09:56 AM,30.506201,-97.637087
5000593,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 10:23,0, , ,05/07/18 06:23,19/02/19 11:18,07/02/2018,10:23 AM,07/02/2018,10:23 AM,30.450726,-97.616495
5000621,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 10:55,0,WEST END PL,78681,04/07/18 05:55,19/02/19 11:18,07/02/2018,10:55 AM,07/02/2018,10:55 AM,30.546777,-97.709535
5000716,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 13:41,0, , ,07/07/18 06:41,19/02/19 11:18,07/02/2018,01:41 PM,07/02/2018,01:41 PM,30.447307,-97.662668
5000717,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 13:42,0, , ,03/07/18 17:42,19/02/19 11:18,07/02/2018,01:42 PM,07/02/2018,01:42 PM,30.445839,-97.662141
5000730,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 13:55,0,WYOMING SPRINGS DR,78681,04/07/18 20:55,19/02/19 11:18,07/02/2018,01:55 PM,07/02/2018,01:55 PM,30.547679,-97.718479
5000733,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 13:58,0,WYOMING SPRINGS DR,78681,04/07/18 17:58,19/02/19 11:18,07/02/2018,01:58 PM,07/02/2018,01:58 PM,30.551332,-97.714646
5000736,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 14:01,0,WYOMING SPRINGS DR,78681,06/07/18 17:01,19/02/19 11:18,07/02/2018,02:01 PM,07/02/2018,02:01 PM,30.549143,-97.714648
5000737,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 14:01,0, , ,06/07/18 07:01,19/02/19 11:18,07/02/2018,02:01 PM,07/02/2018,02:01 PM,30.456029,-97.662114
5000745,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 14:07,0, , ,07/07/18 08:07,19/02/19 11:18,07/02/2018,02:07 PM,07/02/2018,02:07 PM,30.455752,-97.660864
5000749,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 14:09,0, , ,03/07/18 01:09,19/02/19 11:18,07/02/2018,02:09 PM,07/02/2018,02:09 PM,30.455752,-97.661396
5000750,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 972DMZ - Pct # 2,02/07/18 14:09,0,HARRELL PKWY,78665,02/07/18 20:09,19/02/19 11:18,07/02/2018,02:09 PM,07/02/2018,02:09 PM,30.531065,-97.633334
5000810,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 15:30,0,MCNEIL RD,78681,04/07/18 20:30,19/02/19 11:18,07/02/2018,03:30 PM,07/02/2018,03:30 PM,30.496089,-97.690058
5000839,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,02/07/18 16:28,0,SUNDANCE PKWY,78681,07/07/18 15:28,19/02/19 11:18,07/02/2018,04:28 PM,07/02/2018,04:28 PM,30.482171,-97.688919
5000855,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,02/07/18 17:09,0,LOUIS HENNA BLVD,78664,05/07/18 02:09,19/02/19 11:18,07/02/2018,05:09 PM,07/02/2018,05:09 PM,30.486384,-97.655058
5000878,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,02/07/18 18:18,0, , ,03/07/18 03:18,19/02/19 11:18,07/02/2018,06:18 PM,07/02/2018,06:18 PM,30.461962,-97.653191
5000890,101000323,Public Safety,Police,Suspicious Activity,Police Suspicious Activity,02/07/18 19:06,0,W LOUIS HENNA BLVD,78681,06/07/18 07:06,19/02/19 11:18,07/02/2018,07:06 PM,07/02/2018,07:06 PM,30.478534,-97.686985
5000895,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,02/07/18 21:20,0,E BOWMAN RD,78664,03/07/18 01:20,19/02/19 11:18,07/02/2018,09:20 PM,07/02/2018,09:20 PM,30.526147,-97.679991
5000916,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: - Pct # 5,03/07/18 08:26,0,JARRETT WAY,78728,07/07/18 00:26,19/02/19 11:18,07/03/2018,08:26 AM,07/03/2018,08:26 AM,30.470572,-97.682168
5000942,101000040,Streets,Traffic Signal / Signs,Traffic Signal Trouble,Traffic Signal Trouble,27/09/18 10:53,0,DEEP WOOD DR,78681,28/09/18 12:53,19/02/19 11:18,09/27/2018,10:53 AM,09/27/2018,10:53 AM,30.51067573,-97.70108935
5000945,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,04/10/18 14:08,0,RM 1431,78681,05/10/18 14:08,19/02/19 11:18,10/04/2018,02:08 PM,10/04/2018,02:08 PM,30.554763,-97.70016209
5000954,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,30/09/18 09:17,0,TERRA ST,78665,05/10/18 07:17,19/02/19 11:18,09/30/2018,09:17 AM,09/30/2018,09:17 AM,30.55595933,-97.67144907
5000974,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,27/09/18 17:11,0,JARRETT WAY,78728,28/09/18 18:11,19/02/19 11:18,09/27/2018,05:11 PM,09/27/2018,05:11 PM,30.47137854,-97.68204692
5001006,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,30/07/18 12:40,0,WINCHESTER DR,78665,03/08/18 12:40,19/02/19 11:18,07/30/2018,12:40 PM,07/30/2018,12:40 PM,30.499244,-97.639159
5001024,101000040,Streets,Traffic Signal / Signs,Traffic Signal Trouble,Traffic Signal Trouble,01/08/18 14:23,0, , ,06/08/18 01:23,19/02/19 11:18,08/01/2018,02:23 PM,08/01/2018,02:23 PM,30.4514738,-97.66560417
5001084,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN TW456 - Pct # 2,29/08/18 14:42,0,JACKRABBIT RUN,78664,31/08/18 11:42,19/02/19 11:18,08/29/2018,02:42 PM,08/29/2018,02:42 PM,30.50611596,-97.6109365
5001100,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 228KKW - Pct # 5,15/08/18 18:04,0,CHRISTOPHER AVE,78681,16/08/18 15:04,19/02/19 11:18,08/15/2018,06:04 PM,08/15/2018,06:04 PM,30.49300619,-97.69144106
5001124,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,14/08/18 15:13,0,S IH 35 FR,78664,15/08/18 16:13,19/02/19 11:18,08/14/2018,03:13 PM,08/14/2018,03:13 PM,30.46908377,-97.66704949
5001129,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 338DPR - Pct # 1,22/08/18 06:19,0,E PALM VALLEY BLVD,78664,26/08/18 11:19,19/02/19 11:18,08/22/2018,06:19 AM,08/22/2018,06:19 AM,30.51979434,-97.67468677
5001147,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 204kzt - Pct # 5,01/08/18 14:49,0, , ,03/08/18 03:49,19/02/19 11:18,08/01/2018,02:49 PM,08/01/2018,02:49 PM,30.44987886,-97.72396858
5001150,101000007,Sidewalks,Snow & Ice,Sidewalk Snow & Ice Complaint,Sidewalk Snow & Ice Complaint,18/12/18 10:22,0,DESERT CANDLE DR,78681,20/12/18 13:22,19/02/19 11:18,12/18/2018,10:22 AM,12/18/2018,10:22 AM,30.53999387,-97.71408193
5001176,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 387GWT - Pct # 1,18/11/18 06:07,0,E PALM VALLEY BLVD,78664,18/11/18 10:07,19/02/19 11:18,11/18/2018,06:07 AM,11/18/2018,06:07 AM,30.51979434,-97.67468677
5001181,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,23/08/18 15:01,0,OAKRIDGE DR,78681,26/08/18 13:01,19/02/19 11:18,08/23/2018,03:01 PM,08/23/2018,03:01 PM,30.49382435,-97.69992563
5001202,101001981,Property,Private Property,Exterior Nuisance - Self Service,Ext: Tall Grass,01/08/18 13:40,0,HESTERS CROSSING RD,78681,06/08/18 02:40,19/02/19 11:18,08/01/2018,01:40 PM,08/01/2018,01:40 PM,30.48349546,-97.69329039
5001217,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,11/09/18 10:24,0,S A W GRIMES BLVD,78664,11/09/18 14:24,19/02/19 11:18,09/11/2018,10:24 AM,09/11/2018,10:24 AM,30.47467344,-97.64484379
5001231,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 091HYC - Pct # 4,04/09/18 19:40,0,MIRASOL LOOP,78681,06/09/18 21:40,19/02/19 11:18,09/04/2018,07:40 PM,09/04/2018,07:40 PM,30.53577611,-97.71978529
5001263,101000172,Property,Private Property,Residential Conditions Complaint HOD Tenant,Res Con Tenant HOD: Structural,16/12/18 07:29,0, , ,17/12/18 20:29,19/02/19 11:18,12/16/2018,07:29 AM,12/16/2018,07:29 AM,30.4365548,-97.68142976
5001273,101000030,Streets,Snow & Ice,Snow & Ice Complaint,Streets Snow & Ice Complaint,12/12/18 09:48,0,SH 45,78681,12/12/18 19:48,19/02/19 11:18,12/12/2018,09:48 AM,12/12/2018,09:48 AM,30.47960194,-97.68435266
5001281,101000007,Sidewalks,Snow & Ice,Sidewalk Snow & Ice Complaint,Sidewalk Snow & Ice Complaint,18/12/18 12:29,0,S IH 35 FWY,78681,21/12/18 12:29,19/02/19 11:18,12/18/2018,12:29 PM,12/18/2018,12:29 PM,30.49954791,-97.6813317
5001288,101000007,Sidewalks,Snow & Ice,Sidewalk Snow & Ice Complaint,Sidewalk Snow & Ice Complaint,23/12/18 13:13,1, , ,26/12/18 10:13,19/02/19 11:18,12/23/2018,01:13 PM,12/23/2018,01:13 PM,30.4526441,-97.71509123
5001292,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: CA 3DEG513 - Pct # 2,22/12/18 10:21,0,LAKE DR,78665,22/12/18 14:21,19/02/19 11:18,12/22/2018,10:21 AM,12/22/2018,10:21 AM,30.54589371,-97.66797779
5001313,101000171,Property,Private Property,Residential Conditions Complaint HOD,Res Con HOD: Ext Nuisance,02/10/18 13:08,0,GREENLAWN BLVD,78664,04/10/18 16:08,19/02/19 11:18,10/02/2018,01:08 PM,10/02/2018,01:08 PM,30.47662121,-97.66386289
5001324,101000323,Public Safety,Police,Suspicious Activity,Police Suspicious Activity,21/10/18 17:54,0,LIME ROCK DR,78681,23/10/18 02:54,19/02/19 11:18,10/21/2018,05:54 PM,10/21/2018,05:54 PM,30.49574903,-97.69573957
5001341,101000171,Property,Private Property,Residential Conditions Complaint HOD,Res Con HOD: Ext Nuisance,18/08/18 13:53,0,BLUFF DR,78681,22/08/18 11:53,19/02/19 11:18,08/18/2018,01:53 PM,08/18/2018,01:53 PM,30.49442951,-97.69519254
5001358,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 012CLG - Pct # 2,05/11/18 15:17,0,TIMBERLINE DR,78665,07/11/18 16:17,19/02/19 11:18,11/05/2018,03:17 PM,11/05/2018,03:17 PM,30.52732524,-97.65168298
5001365,101000039,Streets,Traffic Signal / Signs,Traffic Signal Timing Issue,Traffic Signal Timing Issue,31/07/18 16:52,0,JOYCE LN,78664,04/08/18 08:52,19/02/19 11:18,07/31/2018,04:52 PM,07/31/2018,04:52 PM,30.49921584,-97.65025125
5001374,101000007,Sidewalks,Snow & Ice,Sidewalk Snow & Ice Complaint,Sidewalk Snow,17/12/18 14:22,0, , ,22/12/18 07:22,19/02/19 11:18,12/17/2018,02:22 PM,12/17/2018,02:22 PM,30.47151445,-97.61861848
5001384,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,31/07/18 14:32,0,LARA CV,78665,04/08/18 22:32,19/02/19 11:18,07/31/2018,02:32 PM,07/31/2018,02:32 PM,30.5051868,-97.63084912
5001398,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,01/10/18 11:24,0,DOUBLE CREEK DR,78664,05/10/18 01:24,19/02/19 11:18,10/01/2018,11:24 AM,10/01/2018,11:24 AM,30.49563504,-97.64590581
5001400,101000171,Property,Private Property,Residential Conditions Complaint HOD,Res Con HOD: Structural,06/09/18 11:15,0,LOUIS HENNA BLVD,78664,10/09/18 17:15,19/02/19 11:18,09/06/2018,11:15 AM,09/06/2018,11:15 AM,30.48870041,-97.62638553
5001427,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,21/08/18 08:18,0,WEST END PL,78681,26/08/18 03:18,19/02/19 11:18,08/21/2018,08:18 AM,08/21/2018,08:18 AM,30.5451968,-97.70864069
5001428,101000030,Streets,Snow & Ice,Snow & Ice Complaint,Streets Snow & Ice Complaint,13/12/18 14:34,0,CR 172,78681,18/12/18 07:34,19/02/19 11:18,12/13/2018,02:34 PM,12/13/2018,02:34 PM,30.4696237,-97.69629863
5001447,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,31/07/18 16:30,0,MORNINGSIDE CV,78664,01/08/18 04:30,19/02/19 11:18,07/31/2018,04:30 PM,07/31/2018,04:30 PM,30.48998971,-97.65636947
5001451,101000171,Property,Private Property,Residential Conditions Complaint HOD,Res Con HOD: Ext Nuisance,05/09/18 17:00,0,AQUALINE CV,78681,06/09/18 09:00,19/02/19 11:18,09/05/2018,05:00 PM,09/05/2018,05:00 PM,30.50195951,-97.69260527
5001454,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: - Pct # 1,13/12/18 15:31,0,EGGER AVE,78664,14/12/18 06:31,19/02/19 11:18,12/13/2018,03:31 PM,12/13/2018,03:31 PM,30.52479295,-97.67407805
5001462,101000167,Property,Private Property,Exterior Nuisance Complaint,Exterior Nuisance Complaint,09/09/18 10:14,0,RM 1431,78681,13/09/18 00:14,19/02/19 11:18,09/09/2018,10:14 AM,09/09/2018,10:14 AM,30.55952277,-97.70958515
5001479,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,23/07/18 15:05,0,CHANDLER CREEK BLVD,78665,27/07/18 01:05,19/02/19 11:18,07/23/2018,03:05 PM,07/23/2018,03:05 PM,30.531917,-97.644316
5001505,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Tree,23/07/18 17:26,0, , ,26/07/18 22:26,19/02/19 11:18,07/23/2018,05:26 PM,07/23/2018,05:26 PM,30.473452,-97.614067
5001522,101000172,Property,Private Property,Residential Conditions Complaint HOD Tenant,Residential Conditions Complaint HOD Tenant,25/07/18 07:41,0,N IH 35 FWY,78681,26/07/18 15:41,19/02/19 11:18,07/25/2018,07:41 AM,07/25/2018,07:41 AM,30.514371,-97.687454
5001555,101000323,Public Safety,Police,Suspicious Activity,Police Suspicious Activity,21/10/18 17:53,0, , ,23/10/18 22:53,19/02/19 11:18,10/21/2018,05:53 PM,10/21/2018,05:53 PM,30.58525544,-97.71821093
5001571,101000381,Animal Related,Animal Control,Animal Complaint - Public Health,Animal Complaint - Public Health,03/07/18 10:14,0,BREEZY CV,78664,06/07/18 06:14,19/02/19 11:18,07/03/2018,10:14 AM,07/03/2018,10:14 AM,30.493959,-97.658295
5001574,101000173,Property,Private Property,Residential Conditions Complaint Tenant,Residential Conditions Complaint Tenant,03/07/18 10:24,0, , ,03/07/18 11:24,19/02/19 11:18,07/03/2018,10:24 AM,07/03/2018,10:24 AM,30.587747,-97.692793
5001608,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,03/07/18 13:16,0, , ,04/07/18 21:16,19/02/19 11:18,07/03/2018,01:16 PM,07/03/2018,01:16 PM,30.436003,-97.710712
5001633,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 704kwx - Pct # 3,03/07/18 15:42,0,GLENN DR,78664,05/07/18 12:42,19/02/19 11:18,07/03/2018,03:42 PM,07/03/2018,03:42 PM,30.467209,-97.649897
5001647,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,03/07/18 16:05,0, , ,07/07/18 20:05,19/02/19 11:18,07/03/2018,04:05 PM,07/03/2018,04:05 PM,30.431835,-97.720138
5001698,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,03/07/18 17:05,0,WEST END PL,78681,03/07/18 20:05,19/02/19 11:18,07/03/2018,05:05 PM,07/03/2018,05:05 PM,30.544584,-97.71082
5001699,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,03/07/18 17:06,0,HIDDEN GLEN DR,78681,05/07/18 10:06,19/02/19 11:18,07/03/2018,05:06 PM,07/03/2018,05:06 PM,30.543538,-97.709215
5001713,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,03/07/18 19:22,0,SERVICE,78681,06/07/18 22:22,19/02/19 11:18,07/03/2018,07:22 PM,07/03/2018,07:22 PM,30.545796,-97.69515
5001722,101000039,Streets,Traffic Signal / Signs,Traffic Signal Timing Issue,Traffic Signal Timing Issue,05/07/18 07:42,0,S A W GRIMES BLVD,78664,09/07/18 09:42,19/02/19 11:18,07/05/2018,07:42 AM,07/05/2018,07:42 AM,30.488449,-97.652915
5001726,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN XXN815 - Pct # 3,05/07/18 08:10,0, , ,07/07/18 20:10,19/02/19 11:18,07/05/2018,08:10 AM,07/05/2018,08:10 AM,30.447255,-97.607281
5001766,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,05/07/18 10:33,0,E MESA PARK DR,78664,06/07/18 17:33,19/02/19 11:18,07/05/2018,10:33 AM,07/05/2018,10:33 AM,30.52147,-97.663581
5001768,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Tree,05/07/18 10:36,0,PARKER DR,78728,07/07/18 18:36,19/02/19 11:18,07/05/2018,10:36 AM,07/05/2018,10:36 AM,30.476668,-97.678652
5001780,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,05/07/18 11:16,0, , ,06/07/18 03:16,19/02/19 11:18,07/05/2018,11:16 AM,07/05/2018,11:16 AM,30.464466,-97.632165
5001803,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,05/07/18 12:30,0,BRATTON LN,78728,07/07/18 21:30,19/02/19 11:18,07/05/2018,12:30 PM,07/05/2018,12:30 PM,30.466908,-97.675695
5001825,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Vehicle,05/07/18 14:36,0,CHANDLER CREEK BLVD,78665,06/07/18 12:36,19/02/19 11:18,07/05/2018,02:36 PM,07/05/2018,02:36 PM,30.532045,-97.644565
5001832,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Tree,05/07/18 15:01,0, , ,08/07/18 02:01,19/02/19 11:18,07/05/2018,03:01 PM,07/05/2018,03:01 PM,30.468998,-97.632163
5001837,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,05/07/18 15:10,0,SERVICE,78681,10/07/18 12:10,19/02/19 11:18,07/05/2018,03:10 PM,07/05/2018,03:10 PM,30.569079,-97.694507
5001891,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: 491KUX - Pct # 2,08/07/18 07:15,0,HARRELL PKWY,78665,10/07/18 06:15,19/02/19 11:18,07/08/2018,07:15 AM,07/08/2018,07:15 AM,30.532253,-97.634109
5001929,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Tree,08/07/18 10:33,0, , ,11/07/18 16:33,19/02/19 11:18,07/08/2018,10:33 AM,07/08/2018,10:33 AM,30.590267,-97.694828
5001939,101000381,Animal Related,Animal Control,Animal Complaint - Public Health,Animal Complaint - Public Health,08/07/18 10:55,0,UNIVERSITY OAKS BLVD,78665,09/07/18 08:55,19/02/19 11:18,07/08/2018,10:55 AM,07/08/2018,10:55 AM,30.558833,-97.689019
5001949,101000039,Streets,Traffic Signal / Signs,Traffic Signal Timing Issue,Traffic Signal Timing Issue,08/07/18 11:10,0,EGGER AVE,78664,09/07/18 03:10,19/02/19 11:18,07/08/2018,11:10 AM,07/08/2018,11:10 AM,30.522148,-97.674341
5001954,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,08/07/18 11:33,0,SILVER LACE LN,78664,12/07/18 08:33,19/02/19 11:18,07/08/2018,11:33 AM,07/08/2018,11:33 AM,30.490239,-97.611043
5002005,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 955AVT - Pct # 3,08/07/18 14:16,0, , ,12/07/18 03:16,19/02/19 11:18,07/08/2018,02:16 PM,07/08/2018,02:16 PM,30.460085,-97.630939
5002008,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,08/07/18 14:28,0,FOREST RIDGE BLVD,78665,10/07/18 02:28,19/02/19 11:18,07/08/2018,02:28 PM,07/08/2018,02:28 PM,30.52584,-97.618309
