CASE#,citycode,caseyear,casenbr,reporteddate,offense,address,ResultCode,ARREST,OFFENSE_CODE,LastUpdateDate,begindate,StartDate,StartTime,EndDate,EndTime,latitude,longitude
3000681,RR,2018,500681,13/12/18 15:55,FORG,W MESSICK LOOP,4,No,11,19/02/19 12:18,10/12/18 09:00,12/10/2018,09:00 AM,10/12/2018,09:00 AM,30.48815816,-97.70290465
3000697,RR,2018,500697,03/10/18 19:47,TLE,VALERIAN TRL,1,Yes,99,19/02/19 12:18,03/10/18 19:38,10/03/2018,07:38 PM,03/10/2018,07:38 PM,30.50408833,-97.64564604
3000792,RR,2018,500792,24/01/18 18:49,NOINS, ,4,Yes,99,19/02/19 12:18,02/12/18 21:27,12/02/2018,09:27 PM,02/12/2018,09:27 PM,30.46670048,-97.63288206
3000829,RR,2018,500829,24/01/18 22:11,RECVEH,EGGER AVE,4,No,99,19/02/19 12:18,24/01/18 21:46,01/24/2018,09:46 PM,01/24/2018,09:46 PM,30.52170079,-97.6743936
3000906,RR,2018,500906,25/01/18 14:50,NOPROF,SANIBEL CT,2,Yes,99,19/02/19 12:18,25/01/18 11:22,01/25/2018,11:22 AM,01/25/2018,11:22 AM,30.54965108,-97.70232481
3000908,RR,2018,500908,25/01/18 14:51,TRSPAS,LARRY LN,1,Yes,40,19/02/19 12:18,25/01/18 14:06,01/25/2018,02:06 PM,01/25/2018,02:06 PM,30.52091878,-97.67210478
3000946,RR,2018,500946,25/01/18 17:27,NOINS, ,2,Yes,99,19/02/19 12:18,14/12/18 09:38,12/14/2018,09:38 AM,12/14/2018,09:38 AM,30.57892888,-97.71718687
3000956,RR,2018,500956,17/04/18 09:12,TLE,GREENHILL DR,1,Yes,99,19/02/19 12:18,17/04/18 08:54,04/17/2018,08:54 AM,04/17/2018,08:54 AM,30.53753941,-97.68271727
3001096,RR,2018,501096,26/01/18 02:30,HRUNAT, ,2,Yes,99,19/02/19 12:18,26/01/18 00:16,01/26/2018,12:16 AM,01/26/2018,12:16 AM,30.4597997,-97.6655435
3001121,RR,2018,501121,26/01/18 05:46,CBYMIN,COLLINGWOOD DR,1,Yes,36,19/02/19 12:18,26/01/18 04:40,01/26/2018,04:40 AM,01/26/2018,04:40 AM,30.5119199,-97.62393278
3001200,RR,2018,501200,26/01/18 15:43,BAITV,LOUIS HENNA BLVD,4,No,99,19/02/19 12:18,26/01/18 14:04,01/26/2018,02:04 PM,01/26/2018,02:04 PM,30.47947972,-97.66641325
3001253,RR,2018,501253,26/01/18 19:42,DAS,RM 1431,2,Yes,99,19/02/19 12:18,26/01/18 13:16,01/26/2018,01:16 PM,01/26/2018,01:16 PM,30.55330937,-97.70992369
3001272,RR,2018,501272,26/01/18 21:15,BURGD,PARKFIELD CV,4,No,6,19/02/19 12:18,19/12/18 20:25,12/19/2018,08:25 PM,12/19/2018,08:25 PM,30.48734181,-97.65506834
3001279,RR,2018,501279,26/01/18 21:44,FINFO,JASMINE PATH,1,Yes,40,19/02/19 12:18,26/01/18 13:00,01/26/2018,01:00 PM,01/26/2018,01:00 PM,30.50274174,-97.65029234
3001330,RR,2018,501330,27/01/18 01:21,NOPROF,UNIVERSITY OAKS BLVD,2,Yes,99,19/02/19 12:18,27/01/18 00:40,01/27/2018,12:40 AM,01/27/2018,12:40 AM,30.55499165,-97.69097227
3001333,RR,2018,501333,27/01/18 01:36,NOPROF,N IH 35 FR,2,Yes,99,19/02/19 12:18,26/01/18 23:17,01/26/2018,11:17 PM,01/26/2018,11:17 PM,30.55319874,-97.69097227
3001339,RR,2018,501339,27/01/18 02:00,PI,E MAIN ST,2,No,99,19/02/19 12:18,26/01/18 21:49,01/26/2018,09:49 PM,01/26/2018,09:49 PM,30.5119695,-97.66648192
3001357,RR,2018,501357,21/01/18 13:40,THEFT,GREENLAWN BLVD,4,No,7,19/02/19 12:18,21/01/18 11:00,01/21/2018,11:00 AM,01/21/2018,11:00 AM,30.50852101,-97.66186613
3001409,RR,2018,501409,21/01/18 00:05,DAR,BRYANT DR,7,Yes,99,19/02/19 12:18,20/01/18 21:57,01/20/2018,09:57 PM,01/20/2018,09:57 PM,30.49169819,-97.64645476
3001450,RR,2018,501450,09/01/18 20:01,HRPD, ,4,No,99,19/02/19 12:18,01/01/18 00:01,01/01/2018,12:01 AM,01/01/2018,12:01 AM,30.55996983,-97.71721739
3001459,RR,2018,501459,26/01/18 10:08,PD,N IH 35 FWY,2,Yes,99,19/02/19 12:18,25/01/18 15:03,01/25/2018,03:03 PM,01/25/2018,03:03 PM,30.5320081,-97.69095701
3001464,RR,2018,501464,26/01/18 16:41,NARC,SERVICE,4,Yes,28,19/02/19 12:18,26/01/18 15:00,01/26/2018,03:00 PM,01/26/2018,03:00 PM,30.48625081,-97.68023771
3001484,RR,2018,501484,18/01/18 18:15,WT,N IH 35 FR,4,Yes,99,19/02/19 12:18,18/01/18 16:30,01/18/2018,04:30 PM,01/18/2018,04:30 PM,30.55205815,-97.69373411
3001620,RR,2018,501620,20/01/18 14:32,NOPROF,SERVICE,2,Yes,99,19/02/19 12:18,20/01/18 14:13,01/20/2018,02:13 PM,01/20/2018,02:13 PM,30.50976842,-97.66750426
3001624,RR,2018,501624,20/01/18 14:50,RCPROP,KIM CV,7,No,99,19/02/19 12:18,20/01/18 14:30,01/20/2018,02:30 PM,01/20/2018,02:30 PM,30.54147999,-97.63996214
3001690,RR,2018,501690,22/01/18 01:17,DASLT5,RED BUD LN,4,No,9,19/02/19 12:18,22/01/18 00:40,01/22/2018,12:40 AM,01/22/2018,12:40 AM,30.48873036,-97.60962767
3001699,RR,2018,501699,22/01/18 02:40,NARC,N IH 35 FR,2,Yes,28,19/02/19 12:18,22/01/18 02:11,01/22/2018,02:11 AM,01/22/2018,02:11 AM,30.55321019,-97.69727415
3001763,RR,2018,501763,23/01/18 12:56,NOINS,STARLIGHT VISTA,2,Yes,99,19/02/19 12:18,23/01/18 09:35,01/23/2018,09:35 AM,01/23/2018,09:35 AM,30.51106923,-97.61497587
3001781,RR,2018,501781,23/01/18 14:15,DAR,N IH 35 FR,2,Yes,99,19/02/19 12:18,23/01/18 14:00,01/23/2018,02:00 PM,01/23/2018,02:00 PM,30.57676976,-97.69434447
3001787,RR,2018,501787,23/01/18 14:35,DAMMV,THIBODEAUX DR,4,No,15,19/02/19 12:18,23/01/18 00:00,01/23/2018,12:00 AM,01/23/2018,12:00 AM,30.47907918,-97.65826506
3001869,RR,2018,501869,25/01/18 00:37,PROBAT,EGGER AVE,1,Yes,40,19/02/19 12:18,25/01/18 00:05,01/25/2018,12:05 AM,01/25/2018,12:05 AM,30.52384083,-97.67395872
3001879,RR,2018,501879,25/01/18 01:49,FINFO,EAST ROCK CV,4,Yes,40,19/02/19 12:18,25/01/18 00:40,01/25/2018,12:40 AM,01/25/2018,12:40 AM,30.49943822,-97.65756315
3001884,RR,2018,501884,25/01/18 01:53,RCPROP,W OAK DR,4,No,99,19/02/19 12:18,24/01/18 20:40,01/24/2018,08:40 PM,01/24/2018,08:40 PM,30.52077,-97.67540831
3001908,RR,2018,501908,25/01/18 17:33,OPBOTT,E PALM VALLEY BLVD,2,Yes,99,19/02/19 12:18,25/01/18 16:20,01/25/2018,04:20 PM,01/25/2018,04:20 PM,30.51809971,-97.67997832
3001971,RR,2018,501971,26/01/18 12:36,THEFT,SERVICE,1,No,7,19/02/19 12:18,24/01/18 12:55,01/24/2018,12:55 PM,01/24/2018,12:55 PM,30.52054112,-97.63826842
3002007,RR,2018,502007,27/01/18 02:35,SHOPLF,LOUIS HENNA BLVD,4,Yes,7,19/02/19 12:18,26/01/18 19:15,01/26/2018,07:15 PM,01/26/2018,07:15 PM,30.48942845,-97.63932127
3002024,RR,2018,502024,27/01/18 04:36,DAR,DEEP WOOD DR,2,Yes,99,19/02/19 12:18,27/01/18 04:20,01/27/2018,04:20 AM,01/27/2018,04:20 AM,30.49920933,-97.69704527
3002034,RR,2018,502034,27/01/18 08:07,FC,HARRELL PKWY,2,No,99,19/02/19 12:18,21/01/18 00:25,01/21/2018,12:25 AM,01/21/2018,12:25 AM,30.52791875,-97.63371367
3002035,RR,2018,502035,27/01/18 08:50,BURGD,LIGHTFOOT DR,4,No,6,19/02/19 12:18,26/01/18 17:30,01/26/2018,05:30 PM,01/26/2018,05:30 PM,30.48264973,-97.70292753
3002046,RR,2018,502046,27/01/18 09:50,NOPROF,S IH 35 FR,2,Yes,99,19/02/19 12:18,15/12/18 18:28,12/15/2018,06:28 PM,12/15/2018,06:28 PM,30.49560826,-97.67953581
3002102,RR,2018,502102,28/01/18 01:46,NOINS, ,1,Yes,99,19/02/19 12:18,28/01/18 01:41,01/28/2018,01:41 AM,01/28/2018,01:41 AM,30.44533055,-97.70269865
3002322,RR,2018,502322,01/03/18 01:32,DWI,PROMENADE CT,2,Yes,35,19/02/19 12:18,28/02/18 23:05,02/28/2018,11:05 PM,02/28/2018,11:05 PM,30.53517048,-97.64393706
3002343,RR,2018,502343,29/08/18 18:00,TRSPAS,SERVICE,2,Yes,40,19/02/19 12:18,09/08/18 12:43,08/09/2018,12:43 PM,09/08/2018,12:43 PM,30.50897877,-97.69048399
3002358,RR,2018,502358,12/12/18 12:15,DASLT5,SERVICE,4,No,9,19/02/19 12:18,13/11/18 22:30,11/13/2018,10:30 PM,11/13/2018,10:30 PM,30.51875966,-97.67993254
3002471,RR,2018,502471,21/01/18 03:21,DAS,OAK MEADOW DR,2,Yes,99,19/02/19 12:18,21/01/18 02:34,01/21/2018,02:34 AM,01/21/2018,02:34 AM,30.48667042,-97.70126433
3002485,RR,2018,502485,21/01/18 18:00,NOPROF,LIME ROCK DR,2,Yes,99,19/02/19 12:18,21/01/18 14:08,01/21/2018,02:08 PM,01/21/2018,02:08 PM,30.50277989,-97.69095701
3002529,RR,2018,502529,21/01/18 20:40,AUTOTH,E PALM VALLEY BLVD,2,No,8,19/02/19 12:18,20/01/18 23:00,01/20/2018,11:00 PM,01/20/2018,11:00 PM,30.51806157,-97.6777429
3002580,RR,2018,502580,22/01/18 00:05,WT,FRIARCREEK LOOP,2,Yes,99,19/02/19 12:18,21/01/18 23:21,01/21/2018,11:21 PM,01/21/2018,11:21 PM,30.48845189,-97.66054625
3002601,RR,2018,502601,28/08/18 11:00,BIKETF,MCNEIL RD,4,No,7,19/02/19 12:18,27/08/18 15:00,08/27/2018,03:00 PM,08/27/2018,03:00 PM,30.48332875,-97.69965452
3002602,RR,2018,502602,28/08/18 11:00,RCPROP,MCNEIL RD,4,No,99,19/02/19 12:18,27/08/18 15:00,08/27/2018,03:00 PM,08/27/2018,03:00 PM,30.48332875,-97.69965452
3002630,RR,2018,502630,22/01/18 11:20,DASLT5,LIME ROCK DR,4,Yes,9,19/02/19 12:18,22/01/18 01:40,01/22/2018,01:40 AM,01/22/2018,01:40 AM,30.50200169,-97.69004149
3002684,RR,2018,502684,22/01/18 19:30,DAMPRP,N IH 35 FWY,4,No,15,19/02/19 12:18,22/01/18 18:53,01/22/2018,06:53 PM,01/22/2018,06:53 PM,30.57244008,-97.69257445
3002747,RR,2018,502747,23/01/18 03:00,WT,RM 1431,2,Yes,99,19/02/19 12:18,23/01/18 02:54,01/23/2018,02:54 AM,01/23/2018,02:54 AM,30.5532903,-97.70613188
3002785,RR,2018,502785,23/01/18 10:54,DAR,WINDRIFT WAY,2,Yes,99,19/02/19 12:18,23/01/18 10:38,01/23/2018,10:38 AM,01/23/2018,10:38 AM,30.48844044,-97.66308684
3002825,RR,2018,502825,20/01/18 00:32,HLTWEL,SUMMIT ST,4,No,99,19/02/19 12:18,19/01/18 17:17,01/19/2018,05:17 PM,01/19/2018,05:17 PM,30.5165395,-97.68502135
3002860,RR,2018,502860,03/02/18 08:55,INTPED,PARKVIEW DR,2,Yes,99,19/02/19 12:18,03/02/18 08:40,02/03/2018,08:40 AM,03/02/2018,08:40 AM,30.50277989,-97.69437498
3002861,RR,2018,502861,03/02/18 09:00,HARASS,E OLD SETTLERS BLVD,4,No,38,19/02/19 12:18,02/02/18 12:00,02/02/2018,12:00 PM,02/02/2018,12:00 PM,30.53370946,-97.68360228
3002933,RR,2018,502933,03/02/18 14:40,CIC,ROUNDVILLE LN,1,No,50,19/02/19 12:18,03/02/18 13:25,02/03/2018,01:25 PM,03/02/2018,01:25 PM,30.48514073,-97.64168638
3003039,RR,2018,503039,03/02/18 21:02,DAS,AVERY-NELSON PKWY,1,Yes,99,19/02/19 12:18,03/02/18 20:45,02/03/2018,08:45 PM,03/02/2018,08:45 PM,30.55671971,-97.65207762
3003061,RR,2018,503061,03/02/18 23:03,CIC, ,4,No,50,19/02/19 12:18,03/02/18 21:00,02/03/2018,09:00 PM,03/02/2018,09:00 PM,30.46715825,-97.64489836
3003090,RR,2018,503090,04/02/18 01:01,WT,SYLVIA LN,4,Yes,99,19/02/19 12:18,04/02/18 00:27,02/04/2018,12:27 AM,04/02/2018,12:27 AM,30.52329152,-97.69998259
3003111,RR,2018,503111,04/02/18 02:05,NOPROF, ,2,Yes,99,19/02/19 12:18,03/02/18 19:29,02/03/2018,07:29 PM,03/02/2018,07:29 PM,30.57981007,-97.71844572
3003141,RR,2018,503141,04/02/18 04:26,PD,W OAK DR,2,Yes,99,19/02/19 12:18,04/02/18 03:05,02/04/2018,03:05 AM,04/02/2018,03:05 AM,30.52052968,-97.67429442
3003148,RR,2018,503148,04/02/18 05:48,NARC,CHISHOLM TRAIL RD,2,Yes,28,19/02/19 12:18,04/02/18 04:58,02/04/2018,04:58 AM,04/02/2018,04:58 AM,30.54780858,-97.69473356
3003174,RR,2018,503174,06/02/18 15:12,PD,CAMINO DEL VERDES PL,2,No,99,19/02/19 12:18,06/02/18 14:35,02/06/2018,02:35 PM,06/02/2018,02:35 PM,30.53340809,-97.71245665
3003199,RR,2018,503199,06/02/18 17:44,HARASS,ROUND ROCK WEST DR,4,No,38,19/02/19 12:18,01/09/18 13:53,09/01/2018,01:53 PM,01/09/2018,01:53 PM,30.50310032,-97.6931848
3003210,RR,2018,503210,06/02/18 19:17,DAS,ROD CAREW DR,2,Yes,99,19/02/19 12:18,06/02/18 17:56,02/06/2018,05:56 PM,06/02/2018,05:56 PM,30.53161137,-97.62192625
3003220,RR,2018,503220,06/02/18 20:25,NODL,SOUTH CREEK DR,4,Yes,99,19/02/19 12:18,06/02/18 17:33,02/06/2018,05:33 PM,06/02/2018,05:33 PM,30.49766057,-97.65494627
3003323,RR,2018,503323,10/02/18 01:21,NOINS, ,4,Yes,99,19/02/19 12:18,10/02/18 01:17,02/10/2018,01:17 AM,10/02/2018,01:17 AM,30.44534962,-97.70559782
3003363,RR,2018,503363,12/02/18 06:20,DASLT2,RAWHIDE LOOP,4,No,5,19/02/19 12:18,12/02/18 05:30,02/12/2018,05:30 AM,12/02/2018,05:30 AM,30.49259846,-97.67922301
3003389,RR,2018,503389,18/01/18 02:18,BURGB, ,1,No,6,19/02/19 12:18,18/01/18 01:40,01/18/2018,01:40 AM,01/18/2018,01:40 AM,30.46356862,-97.61870665
3003416,RR,2018,503416,30/01/18 22:30,TLE,E OLD SETTLERS BLVD,1,Yes,99,19/02/19 12:18,30/01/18 20:44,01/30/2018,08:44 PM,01/30/2018,08:44 PM,30.53534978,-97.68430418
3003446,RR,2018,503446,13/02/18 01:15,NOPROF,N IH 35 FR,2,Yes,99,19/02/19 12:18,12/02/18 19:38,02/12/2018,07:38 PM,12/02/2018,07:38 PM,30.5374593,-97.69094176
3003501,RR,2018,503501,14/02/18 17:17,LOITER,RM 1431,2,Yes,40,19/02/19 12:18,14/02/18 15:49,02/14/2018,03:49 PM,02/14/2018,03:49 PM,30.56053822,-97.71121306
3003553,RR,2018,503553,16/02/18 13:25,DAR, ,2,Yes,99,19/02/19 12:18,16/02/18 13:18,02/16/2018,01:18 PM,02/16/2018,01:18 PM,30.43522923,-97.63536162
3003599,RR,2018,503599,16/02/18 16:28,WT,REDWING WAY,2,Yes,99,19/02/19 12:18,16/02/18 16:14,02/16/2018,04:14 PM,02/16/2018,04:14 PM,30.50100987,-97.65528197
3003627,RR,2018,503627,07/05/18 01:18,NODL,N IH 35 FWY,2,Yes,99,19/02/19 12:18,06/05/18 23:20,05/06/2018,11:20 PM,06/05/2018,11:20 PM,30.54378026,-97.69246763
3003666,RR,2018,503666,07/05/18 04:12,SCRAP,N IH 35 FR,7,Yes,7,19/02/19 12:18,07/05/18 03:30,05/07/2018,03:30 AM,07/05/2018,03:30 AM,30.52176945,-97.68864531
3003753,RR,2018,503753,16/04/18 00:18,MISC,E PALM VALLEY BLVD,1,No,99,19/02/19 12:18,16/04/18 00:01,04/16/2018,12:01 AM,04/16/2018,12:01 AM,30.5189008,-97.67403502
3003758,RR,2018,503758,07/05/18 12:25,TRSPAS,N IH 35 FWY,4,Yes,40,19/02/19 12:18,07/05/18 11:54,05/07/2018,11:54 AM,07/05/2018,11:54 AM,30.53832905,-97.69215483
3003835,RR,2018,503835,31/01/18 01:11,TFMV,N A W GRIMES BLVD,4,No,7,19/02/19 12:18,31/01/18 00:03,01/31/2018,12:03 AM,01/31/2018,12:03 AM,30.51496022,-97.65587706
3003850,RR,2018,503850,31/01/18 03:14,DAR,SERVICE,2,Yes,99,19/02/19 12:18,31/01/18 02:43,01/31/2018,02:43 AM,01/31/2018,02:43 AM,30.51489918,-97.65474791
3003866,RR,2018,503866,31/01/18 07:34,ACFIRE,GREENHILL DR,4,No,99,19/02/19 12:18,27/01/18 01:05,01/27/2018,01:05 AM,01/27/2018,01:05 AM,30.5409116,-97.68204588
3003897,RR,2018,503897,17/01/18 23:38,NARC, ,7,No,28,19/02/19 12:18,17/01/18 22:30,01/17/2018,10:30 PM,01/17/2018,10:30 PM,30.43817036,-97.63401121
3004048,RR,2018,504048,22/04/18 19:20,THEFT,FANNIN AVE,4,Yes,7,19/02/19 12:18,20/04/18 21:45,04/20/2018,09:45 PM,04/20/2018,09:45 PM,30.51483052,-97.67797178
3004064,RR,2018,504064,16/12/18 02:50,WT,N IH 35 FR,4,Yes,99,19/02/19 12:18,16/12/18 02:32,12/16/2018,02:32 AM,12/16/2018,02:32 AM,30.54815953,-97.69311613
3004114,RR,2018,504114,03/08/18 10:43,THEFT,RM 1431,4,No,7,19/02/19 12:18,30/07/18 18:00,07/30/2018,06:00 PM,07/30/2018,06:00 PM,30.56078999,-97.69765562
3004143,RR,2018,504143,17/01/18 20:18,BURGD,ROUNDUP TRL,4,No,6,19/02/19 12:18,16/01/18 18:30,01/16/2018,06:30 PM,01/16/2018,06:30 PM,30.49446004,-97.68307585
3004147,RR,2018,504147,18/01/18 09:01,PI,SUNRISE RD,1,Yes,99,19/02/19 12:18,18/01/18 07:51,01/18/2018,07:51 AM,01/18/2018,07:51 AM,30.54201024,-97.67421812
3004181,RR,2018,504181,28/08/18 13:10,THEFT,ALLEY ALY,2,No,7,19/02/19 12:18,24/08/18 16:00,08/24/2018,04:00 PM,08/24/2018,04:00 PM,30.51032918,-97.67501158
3004311,RR,2018,504311,21/02/18 14:00,MISC,WHITLOW WAY,4,No,99,19/02/19 12:18,18/02/18 12:00,02/18/2018,12:00 PM,02/18/2018,12:00 PM,30.53200047,-97.6261682
3004324,RR,2018,504324,28/08/18 05:50,LURKNG,E PALM VALLEY BLVD,2,Yes,40,19/02/19 12:18,28/08/18 03:42,08/28/2018,03:42 AM,08/28/2018,03:42 AM,30.52978032,-97.62449736
3004366,RR,2018,504366,02/05/18 20:22,ASLT2,RM 1431,2,No,5,19/02/19 12:18,02/05/18 19:20,05/02/2018,07:20 PM,02/05/2018,07:20 PM,30.55327122,-97.70360655
3004431,RR,2018,504431,06/12/18 03:00,NOINS,LAKE DR,1,Yes,99,19/02/19 12:18,06/12/18 02:09,12/06/2018,02:09 AM,06/12/2018,02:09 AM,30.54410832,-97.67197508
3004444,RR,2018,504444,06/12/18 04:04,NARC,RANIER LN,1,Yes,28,19/02/19 12:18,06/12/18 03:37,12/06/2018,03:37 AM,06/12/2018,03:37 AM,30.54170125,-97.64286131
3004520,RR,2018,504520,20/01/18 09:38,THEFT,FOREST CREEK DR,1,No,7,19/02/19 12:18,20/01/18 08:57,01/20/2018,08:57 AM,01/20/2018,08:57 AM,30.50874989,-97.61199278
3004561,RR,2018,504561,27/01/18 15:00,RCPROP,SAVANNAH DR,4,No,99,19/02/19 12:18,27/01/18 00:01,01/27/2018,12:01 AM,01/27/2018,12:01 AM,30.53118031,-97.70804686
3004745,RR,2018,504745,23/01/18 19:45,DAR,BELLVIEW AVE,2,Yes,99,19/02/19 12:18,23/01/18 19:00,01/23/2018,07:00 PM,01/23/2018,07:00 PM,30.50403874,-97.68077177
3004751,RR,2018,504751,23/01/18 20:00,LOITER,CREEK BEND BLVD,2,Yes,40,19/02/19 12:18,23/01/18 18:50,01/23/2018,06:50 PM,01/23/2018,06:50 PM,30.53885167,-97.71116728
3004766,RR,2018,504766,23/01/18 20:54,WT,WEST END PL,2,Yes,99,19/02/19 12:18,23/01/18 20:31,01/23/2018,08:31 PM,01/23/2018,08:31 PM,30.5439481,-97.71115202
3004829,RR,2018,504829,20/01/18 00:00,VANEG,SYLVIA LN,1,No,34,19/02/19 12:18,20/01/18 00:00,01/20/2018,12:00 AM,01/20/2018,12:00 AM,30.52284901,-97.70257658
3004832,RR,2018,504832,24/01/18 01:50,ASLT2,HESTERS CROSSING RD,4,No,5,19/02/19 12:18,24/01/18 01:12,01/24/2018,01:12 AM,01/24/2018,01:12 AM,30.48522084,-97.68480772
3004914,RR,2018,504914,27/01/18 19:00,NOPROF,SERVICE,2,Yes,99,19/02/19 12:18,27/01/18 16:56,01/27/2018,04:56 PM,01/27/2018,04:56 PM,30.54487889,-97.69095701
3004969,RR,2018,504969,19/01/18 01:35,DWI,BLUE JAY WAY,2,Yes,35,19/02/19 12:18,18/01/18 23:58,01/18/2018,11:58 PM,01/18/2018,11:58 PM,30.4956197,-97.69099516
3004994,RR,2018,504994,18/01/18 14:00,DAR,SAVANNAH DR,2,Yes,99,19/02/19 12:18,18/01/18 13:50,01/18/2018,01:50 PM,01/18/2018,01:50 PM,30.53158085,-97.70742125
3005078,RR,2018,505078,17/01/18 19:33,LOITER,N IH 35 FWY,4,Yes,40,19/02/19 12:18,17/01/18 18:01,01/17/2018,06:01 PM,01/17/2018,06:01 PM,30.53832905,-97.69215483
3005082,RR,2018,505082,17/01/18 15:00,FORGCK,SERVICE,4,No,11,19/02/19 12:18,06/01/18 09:00,01/06/2018,09:00 AM,06/01/2018,09:00 AM,30.48235982,-97.67355437
3005086,RR,2018,505086,17/01/18 16:00,TFMV,COURTNEY CV,4,No,7,19/02/19 12:18,16/01/18 22:00,01/16/2018,10:00 PM,01/16/2018,10:00 PM,30.4917783,-97.66267485
3005093,RR,2018,505093,17/01/18 20:21,DASLT2,S A W GRIMES BLVD,4,Yes,5,19/02/19 12:18,17/01/18 19:06,01/17/2018,07:06 PM,01/17/2018,07:06 PM,30.49267857,-97.65631193
3005103,RR,2018,505103,17/01/18 15:57,WT,HERITAGE CENTER CIR,4,Yes,99,19/02/19 12:18,17/01/18 15:20,01/17/2018,03:20 PM,01/17/2018,03:20 PM,30.5170583,-97.67648405
3005123,RR,2018,505123,30/01/18 15:55,ASLT5,E MESSICK LOOP,2,No,9,19/02/19 12:18,30/01/18 14:49,01/30/2018,02:49 PM,01/30/2018,02:49 PM,30.48844044,-97.70124144
3005138,RR,2018,505138,30/01/18 16:50,PI,N GEORGETOWN ST,2,No,99,19/02/19 12:18,30/01/18 16:00,01/30/2018,04:00 PM,01/30/2018,04:00 PM,30.51621907,-97.67029661
3005322,RR,2018,505322,24/01/18 14:00,TLE,E LOGAN ST,4,Yes,99,19/02/19 12:18,24/01/18 12:02,01/24/2018,12:02 PM,01/24/2018,12:02 PM,30.50247853,-97.67411131
3005347,RR,2018,505347,24/01/18 15:31,WT,S A W GRIMES BLVD,4,Yes,99,19/02/19 12:18,24/01/18 14:43,01/24/2018,02:43 PM,01/24/2018,02:43 PM,30.49296086,-97.65578551
3005352,RR,2018,505352,24/01/18 15:20,ROBPAG,MAGNOLIA DR,2,No,4,19/02/19 12:18,13/12/18 19:00,12/13/2018,07:00 PM,12/13/2018,07:00 PM,30.488429,-97.67071623
3005370,RR,2018,505370,24/01/18 16:15,DAS,LUTHER PETERSON PL,1,Yes,99,19/02/19 12:18,24/01/18 14:14,01/24/2018,02:14 PM,01/24/2018,02:14 PM,30.54387944,-97.68340391
3005483,RR,2018,505483,20/01/18 22:17,AOA, ,2,Yes,99,19/02/19 12:18,20/01/18 17:52,01/20/2018,05:52 PM,01/20/2018,05:52 PM,30.56236165,-97.71126646
3005544,RR,2018,505544,17/01/18 22:06,RUNWAY,GREENLAWN BLVD,4,Yes,43,19/02/19 12:18,17/01/18 21:06,01/17/2018,09:06 PM,01/17/2018,09:06 PM,30.4769315,-97.66586394
3005630,RR,2018,505630,15/10/18 11:56,WT,SILVER SPUR DR,4,Yes,99,19/02/19 12:18,11/10/18 10:24,10/11/2018,10:24 AM,11/10/2018,10:24 AM,30.48815053,-97.68636412
3005656,RR,2018,505656,02/05/18 14:15,THEFT,ST WILLIAMS AVE,4,No,7,19/02/19 12:18,01/05/18 20:00,05/01/2018,08:00 PM,01/05/2018,08:00 PM,30.49993031,-97.69689268
