PID,ADDRESS,ZIP,TYPE,PERMIT,DECISION,PER_TYPE_DESC,STATUS,StartDate,StartTime,EndDate,EndTime,ISSUEDATE,EXPIRE_YEAR,EXPIRE_DATE,PER_TYPE,CON_N AME,PER_DECISION,APN,X,Y,LATITUDE,LONGITUDE,LastUpdateDate
1000055,"HIDDEN VALLEY DR",78665,"L033",20055,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",07/05/18 00:00,2013,01/04/19 00:00,"L033","Event 266112218","INACTIVE",5000055,-10382915.6383,5624794.0225,30.56086,-97.674275,19/02/19 14:46
1000056,"HIDDEN VALLEY DR",78665,"L033",20056,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/05/18 00:00,2013,01/04/19 00:00,"L033","Event 740799317","INACTIVE",5000056,-10382915.6383,5624794.0225,30.56086,-97.674275,19/02/19 14:46
1000057,"HIDDEN VALLEY DR",78665,"L033",20057,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/05/18 00:00,2013,01/04/19 00:00,"L033","Event 2067763115","INACTIVE",5000057,-10382915.6383,5624794.0225,30.56086,-97.674275,19/02/19 14:46
1000075,"CHISHOLM VALLEY DR",78681,"L033",20075,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",11/07/18 00:00,2013,01/04/19 00:00,"L033","Event 327013447","INACTIVE",5000075,-10385094.5265,5613359.4635,30.48821,-97.693845,19/02/19 14:46
1000076,"CHISHOLM VALLEY DR",78681,"L033",20076,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",21/07/18 00:00,2013,01/04/19 00:00,"L033","Event 1129418565","INACTIVE",5000076,-10385094.5265,5613359.4635,30.48821,-97.693845,19/02/19 14:46
1000077,"LYNDA SUE ST",78681,"L033",20077,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",24/07/18 00:00,2013,01/04/19 00:00,"L033","Event 358153016","INACTIVE",5000077,-10384863.8853,5613358.0423,30.4882,-97.691775,19/02/19 14:46
1000082,"LYNDA SUE ST",78681,"L033",20082,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",21/07/18 00:00,2013,01/04/19 00:00,"L033","Event 1422019250","INACTIVE",5000082,-10384837.7204,5613360.8176,30.48822,-97.691535,19/02/19 14:46
1000087,"CR 172",78681,"L033",20087,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",19/07/18 00:00,2013,01/04/19 00:00,"L033","Event 536065533","INACTIVE",5000087,-10385113.8565,5612519.8695,30.48287,-97.694025,19/02/19 14:46
1000089,"W MESSICK LOOP",78681,"L033",20089,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",05/06/18 00:00,2013,01/04/19 00:00,"L033","Event 1848177174","INACTIVE",5000089,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000090,"W MESSICK LOOP",78681,"L033",20090,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",02/07/18 00:00,2013,01/04/19 00:00,"L033","Event 740221577","INACTIVE",5000090,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000091,"W MESSICK LOOP",78681,"L033",20091,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",24/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1008324147","INACTIVE",5000091,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000092,"W MESSICK LOOP",78681,"L033",20092,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",09/07/18 00:00,2013,01/04/19 00:00,"L033","Event 1734355528","INACTIVE",5000092,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000093,"W MESSICK LOOP",78681,"L033",20093,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",11/07/18 00:00,2013,01/04/19 00:00,"L033","Event 419852241","INACTIVE",5000093,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000094,"W MESSICK LOOP",78681,"L033",20094,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",27/06/18 00:00,2013,01/04/19 00:00,"L033","Event 1133690869","INACTIVE",5000094,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000100,"W MESSICK LOOP",78681,"L033",20100,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",15/05/18 00:00,2013,01/04/19 00:00,"L033","Event 998345265","INACTIVE",5000100,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000105,"W MESSICK LOOP",78681,"L033",20105,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",08/06/18 00:00,2013,01/04/19 00:00,"L033","Event 1608328266","INACTIVE",5000105,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000106,"W MESSICK LOOP",78681,"L033",20106,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",22/06/18 00:00,2013,01/04/19 00:00,"L033","Event 471963665","INACTIVE",5000106,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000107,"W MESSICK LOOP",78681,"L033",20107,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1192665","INACTIVE",5000107,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000109,"W MESSICK LOOP",78681,"L033",20109,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",15/05/18 00:00,2013,01/04/19 00:00,"L033","Event 853733349","INACTIVE",5000109,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000110,"W MESSICK LOOP",78681,"L033",20110,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",15/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1964234013","INACTIVE",5000110,-10386103.3309,5613351.6895,30.48816,-97.702905,19/02/19 14:46
1000131,"N IH 35 FR",78681,"L033",20131,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",08/04/18 00:00,2013,01/04/19 00:00,"L033","Event 288583199","INACTIVE",5000131,-10385520.2123,5625379.6361,30.56458,-97.697675,19/02/19 14:46
1000134,"N IH 35 FR",78681,"L033",20134,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/03/18 00:00,2013,01/04/19 00:00,"L033","Event 1839158104","INACTIVE",5000134,-10385520.2123,5625379.6361,30.56458,-97.697675,19/02/19 14:46
1000140,"N IH 35 FR",78681,"L033",20140,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",28/06/18 00:00,2013,01/04/19 00:00,"L033","Event 646367334","INACTIVE",5000140,-10385440.0034,5625404.7085,30.56474,-97.696945,19/02/19 14:46
1000153," "," ","L033",20153,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",11/09/18 00:00,2013,01/04/19 00:00,"L033","Event 1399112297","INACTIVE",5000153,-10377791.9133,5609764.4676,30.46535,-97.628245,19/02/19 14:46
1000154," "," ","L033",20154,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",25/08/18 00:00,2013,01/04/19 00:00,"L033","Event 861365897","INACTIVE",5000154,-10377791.9133,5609764.4676,30.46535,-97.628245,19/02/19 14:46
1000155," "," ","L033",20155,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",10/09/18 00:00,2013,01/04/19 00:00,"L033","Event 1773116533","INACTIVE",5000155,-10377791.9133,5609764.4676,30.46535,-97.628245,19/02/19 14:46
1000156," "," ","L033",20156,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",08/09/18 00:00,2013,01/04/19 00:00,"L033","Event 339502185","INACTIVE",5000156,-10377791.9133,5609764.4676,30.46535,-97.628245,19/02/19 14:46
1000157," "," ","L033",20157,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/09/18 00:00,2013,01/04/19 00:00,"L033","Event 1868441546","INACTIVE",5000157,-10377791.9133,5609764.4676,30.46535,-97.628245,19/02/19 14:46
1000166," "," ","L033",20166,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",18/08/18 00:00,2013,01/04/19 00:00,"L033","Event 69265556","INACTIVE",5000166,-10377791.9133,5609764.4676,30.46535,-97.628245,19/02/19 14:46
1000174," "," ","L033",20174,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",16/08/18 00:00,2013,01/04/19 00:00,"L033","Event 1392319640","INACTIVE",5000174,-10387953.2798,5609534.8987,30.46389,-97.719525,19/02/19 14:46
1000177,"WEST END PL",78681,"L033",20177,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",15/08/18 00:00,2013,01/04/19 00:00,"L033","Event 1102654789","INACTIVE",5000177,-10387242.2023,5622547.5857,30.5466,-97.713135,19/02/19 14:46
1000178,"WEST END PL",78681,"L033",20178,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",22/06/18 00:00,2013,01/04/19 00:00,"L033","Event 457026841","INACTIVE",5000178,-10387242.2023,5622547.5857,30.5466,-97.713135,19/02/19 14:46
1000179,"WEST END PL",78681,"L033",20179,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",06/08/18 00:00,2013,01/04/19 00:00,"L033","Event 856703748","INACTIVE",5000179,-10387242.2023,5622547.5857,30.5466,-97.713135,19/02/19 14:46
1000180,"WEST END PL",78681,"L033",20180,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",01/07/18 00:00,2013,01/04/19 00:00,"L033","Event 1024000383","INACTIVE",5000180,-10387242.2023,5622547.5857,30.5466,-97.713135,19/02/19 14:46
1000181,"WEST END PL",78681,"L033",20181,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",21/07/18 00:00,2013,01/04/19 00:00,"L033","Event 172323396","INACTIVE",5000181,-10387242.2023,5622547.5857,30.5466,-97.713135,19/02/19 14:46
1000195,"FM 1325 RD",78681,"L033",20195,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",26/09/18 00:00,2013,01/04/19 00:00,"L033","Event 365989421","INACTIVE",5000195,-10384171.6822,5611087.4416,30.47376,-97.685555,19/02/19 14:46
1000196,"FM 1325 RD",78681,"L033",20196,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",04/10/18 00:00,2013,01/04/19 00:00,"L033","Event 2128026357","INACTIVE",5000196,-10384171.6822,5611087.4416,30.47376,-97.685555,19/02/19 14:46
1000197,"FM 1325 RD",78681,"L033",20197,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",18/07/18 00:00,2013,01/04/19 00:00,"L033","Event 1323899278","INACTIVE",5000197,-10384171.6822,5611087.4416,30.47376,-97.685555,19/02/19 14:46
1000199,"FM 1325 RD",78681,"L033",20199,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",24/07/18 00:00,2013,01/04/19 00:00,"L033","Event 2044989874","INACTIVE",5000199,-10384171.6822,5611087.4416,30.47376,-97.685555,19/02/19 14:46
1000200,"FM 1325 RD",78681,"L033",20200,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",06/08/18 00:00,2013,01/04/19 00:00,"L033","Event 277203839","INACTIVE",5000200,-10384171.6822,5611087.4416,30.47376,-97.685555,19/02/19 14:46
1000210,"FM 1325 RD",78681,"L033",20210,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",18/09/18 00:00,2013,01/04/19 00:00,"L033","Event 486359541","INACTIVE",5000210,-10384268.6563,5611084.8805,30.47375,-97.686425,19/02/19 14:46
1000211,"FM 1325 RD",78681,"L033",20211,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",08/09/18 00:00,2013,01/04/19 00:00,"L033","Event 565466242","INACTIVE",5000211,-10384268.6563,5611084.8805,30.47375,-97.686425,19/02/19 14:46
1000220,"N IH 35 FR",78728,"L033",20220,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",08/01/18 00:00,2013,01/04/19 00:00,"L033","Event 2107448259","INACTIVE",5000220,-10383036.8634,5609204.6985,30.46179,-97.675365,19/02/19 14:46
1000226,"BASS LOOP",78665,"L033",20226,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",19/08/18 00:00,2013,01/04/19 00:00,"L033","Event 213362644","INACTIVE",5000226,-10381708.2212,5623050.0627,30.54979,-97.663425,19/02/19 14:46
1000244,"N A W GRIMES BLVD",78665,"L033",20244,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",03/05/18 00:00,2013,01/04/19 00:00,"L033","Event 903015586","INACTIVE",5000244,-10380389.0158,5623514.4752,30.55274,-97.651575,19/02/19 14:46
1000245,"N A W GRIMES BLVD",78665,"L033",20245,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",05/05/18 00:00,2013,01/04/19 00:00,"L033","Event 230276765","INACTIVE",5000245,-10380389.0158,5623514.4752,30.55274,-97.651575,19/02/19 14:46
1000255,"S IH 35 FR",78665,"L033",20255,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",09/07/18 00:00,2013,01/04/19 00:00,"L033","Event 1770100807","INACTIVE",5000255,-10384687.529,5628649.6458,30.58534,-97.690195,19/02/19 14:46
1000257,"S IH 35 FR",78665,"L033",20257,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",25/06/18 00:00,2013,01/04/19 00:00,"L033","Event 1810874822","INACTIVE",5000257,-10384687.529,5628649.6458,30.58534,-97.690195,19/02/19 14:46
1000258,"S IH 35 FR",78665,"L033",20258,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",01/07/18 00:00,2013,01/04/19 00:00,"L033","Event 1541991811","INACTIVE",5000258,-10384687.529,5628649.6458,30.58534,-97.690195,19/02/19 14:46
1000260," "," ","L033",20260,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",04/04/18 00:00,2013,01/04/19 00:00,"L033","Event 1474760296","INACTIVE",5000260,-10385661.9855,5629148.9126,30.58851,-97.698945,19/02/19 14:46
1000268," "," ","L033",20268,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",15/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1521296171","INACTIVE",5000268,-10381993.1317,5608212.0079,30.45548,-97.665985,19/02/19 14:46
1000269,"E OLD SETTLERS BLVD",78665,"L033",20269,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",19/09/18 00:00,2013,01/04/19 00:00,"L033","Event 2074567668","INACTIVE",5000269,-10380398.8158,5622335.0735,30.54525,-97.651665,19/02/19 14:46
1000286,"HORSEMAN CV",78665,"L033",20286,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",18/07/18 00:00,2013,01/04/19 00:00,"L033","Event 2004923399","INACTIVE",5000286,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000288,"HORSEMAN CV",78665,"L033",20288,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",21/07/18 00:00,2013,01/04/19 00:00,"L033","Event 143928371","INACTIVE",5000288,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000289,"HORSEMAN CV",78665,"L033",20289,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",28/12/18 00:00,2013,01/04/19 00:00,"L033","Event 500040808","INACTIVE",5000289,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000290,"HORSEMAN CV",78665,"L033",20290,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",28/12/18 00:00,2013,01/04/19 00:00,"L033","Event 1898510141","INACTIVE",5000290,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000291,"HORSEMAN CV",78665,"L033",20291,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",09/07/18 00:00,2013,01/04/19 00:00,"L033","Event 549440028","INACTIVE",5000291,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000308,"HORSEMAN CV",78665,"L033",20308,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",18/08/18 00:00,2013,01/04/19 00:00,"L033","Event 1123422487","INACTIVE",5000308,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000314,"HORSEMAN CV",78665,"L033",20314,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",07/12/18 00:00,2013,01/04/19 00:00,"L033","Event 204452949","INACTIVE",5000314,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000315,"HORSEMAN CV",78665,"L033",20315,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",21/01/18 00:00,2013,01/04/19 00:00,"L033","Event 2070483449","INACTIVE",5000315,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000316,"HORSEMAN CV",78665,"L033",20316,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",22/06/18 00:00,2013,01/04/19 00:00,"L033","Event 61024147","INACTIVE",5000316,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000317,"HORSEMAN CV",78665,"L033",20317,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",05/02/18 00:00,2013,01/04/19 00:00,"L033","Event 1282800658","INACTIVE",5000317,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000319,"HORSEMAN CV",78665,"L033",20319,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",16/01/18 00:00,2013,01/04/19 00:00,"L033","Event 1055332174","INACTIVE",5000319,-10381916.8725,5622290.9396,30.54497,-97.665305,19/02/19 14:46
1000325,"WILDERNESS PATH",78665,"L033",20325,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",01/07/18 00:00,2013,01/04/19 00:00,"L033","Event 2131110233","INACTIVE",5000325,-10382242.8394,5621741.6383,30.54148,-97.668225,19/02/19 14:46
1000326,"WILDERNESS PATH",78665,"L033",20326,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",03/04/18 00:00,2013,01/04/19 00:00,"L033","Event 610697379","INACTIVE",5000326,-10382242.8394,5621741.6383,30.54148,-97.668225,19/02/19 14:46
1000327,"WILDERNESS PATH",78665,"L033",20327,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",14/05/18 00:00,2013,01/04/19 00:00,"L033","Event 246881039","INACTIVE",5000327,-10382242.8394,5621741.6383,30.54148,-97.668225,19/02/19 14:46
1000390,"SUNRISE RD",78665,"L033",20390,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",24/06/18 00:00,2013,01/04/19 00:00,"L033","Event 1492509781","INACTIVE",5000390,-10382210.8743,5620979.6275,30.53664,-97.667945,19/02/19 14:46
1000391,"SUNRISE RD",78665,"L033",20391,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",20/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1249057947","INACTIVE",5000391,-10382210.8743,5620979.6275,30.53664,-97.667945,19/02/19 14:46
1000392,"SUNRISE RD",78665,"L033",20392,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",25/06/18 00:00,2013,01/04/19 00:00,"L033","Event 1987209507","INACTIVE",5000392,-10382210.8743,5620979.6275,30.53664,-97.667945,19/02/19 14:46
1000394,"SUNRISE RD",78665,"L033",20394,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",15/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1434862396","INACTIVE",5000394,-10382210.8743,5620979.6275,30.53664,-97.667945,19/02/19 14:46
1000407,"VERNELL WAY",78664,"L033",20407,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",19/09/18 00:00,2013,01/04/19 00:00,"L033","Event 167179349","INACTIVE",5000407,-10381896.333,5620752.8499,30.5352,-97.665115,19/02/19 14:46
1000408,"VERNELL WAY",78664,"L033",20408,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",14/05/18 00:00,2013,01/04/19 00:00,"L033","Event 1069696110","INACTIVE",5000408,-10381896.333,5620752.8499,30.5352,-97.665115,19/02/19 14:46
1000411,"WALLIN LOOP",78664,"L033",20411,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",18/07/18 00:00,2013,01/04/19 00:00,"L033","Event 337631160","INACTIVE",5000411,-10381416.2639,5620584.9187,30.53413,-97.660805,19/02/19 14:46
1000412,"WALLIN LOOP",78664,"L033",20412,"INACTIVE","BEER-TEMP ON-SALE","DONE",04/01/2018,"12:00 AM",04/01/2019,"12:00 AM",02/07/18 00:00,2013,01/04/19 00:00,"L033","Event 653066349","INACTIVE",5000412,-10381416.2639,5620584.9187,30.53413,-97.660805,19/02/19 14:46
