master_incident_number,response_date,StartDate,EndDate,problem,call_disposition,priority_number,LastUpdateDate,latitude,longitude
1190262,14/01/18 12:30,Jan 14 2018 12:30PM,Jan 14 2018 12:30PM,Theft-Hold One Cooperative,RFD-Refused,2,19/02/19 12:14,30.43508,-97.681011
1379714,17/03/18 10:55,Mar 17 2018 10:55AM,Mar 17 2018 10:55AM,Theft-Hold One Cooperative,RPT-Report,2,19/02/19 12:14,30.43508,-97.681011
1468768,22/07/18 18:29,Jul 22 2018  6:29PM,Jul 22 2018  6:29PM,Theft,BKG-Booking,1,19/02/19 12:14,30.43508,-97.681011
1497945,13/06/18 14:19,Jun 13 2018  2:19PM,Jun 13 2018  2:19PM,Theft-Hold One Cooperative,TAG-Tagged,2,19/02/19 12:14,30.43508,-97.681011
1763568,22/10/18 02:01,Oct 22 2018  2:01AM,Oct 22 2018  2:01AM,Foot Beat (P),AOK- All OK,4,19/02/19 12:14,30.43511,-97.681085
1033708,06/06/18 22:52,Jun  6 2018 10:52PM,Jun  6 2018 10:52PM,Disturbance,ADV-Advised,2,19/02/19 12:14,30.435606,-97.720508
1144857,04/11/18 13:08,Nov  4 2018  1:08PM,Nov  4 2018  1:08PM,Neighbor Trouble,ADV-Advised,2,19/02/19 12:14,30.435627,-97.672122
1079791,26/10/18 12:20,Oct 26 2018 12:20PM,Oct 26 2018 12:20PM,Check the Welfare,ADV-Advised,2,19/02/19 12:14,30.435679,-97.684885
1154113,24/11/18 21:13,Nov 24 2018  9:13PM,Nov 24 2018  9:13PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.435692,-97.681062
1621370,02/09/18 00:12,Sep  2 2018 12:12AM,Sep  2 2018 12:12AM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.4357,-97.681055
1683025,03/04/18 07:41,Apr  3 2018  7:41AM,Apr  3 2018  7:41AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43727,-97.711695
1141386,29/10/18 02:27,Oct 29 2018  2:27AM,Oct 29 2018  2:27AM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.43739,-97.720545
1138258,03/09/18 22:08,Sep  3 2018 10:08PM,Sep  3 2018 10:08PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43747,-97.680995
1530584,06/09/18 11:00,Sep  6 2018 11:00AM,Sep  6 2018 11:00AM,Auto Theft,RPT-Report,2,19/02/19 12:14,30.437685,-97.693801
1036034,20/03/18 07:46,Mar 20 2018  7:46AM,Mar 20 2018  7:46AM,Disturbance,RPT-Report,2,19/02/19 12:14,30.437742,-97.691255
1330389,23/06/18 09:28,Jun 23 2018  9:28AM,Jun 23 2018  9:28AM,Audible Business Alarm,FAL-False,1,19/02/19 12:14,30.437858,-97.699344
1168777,19/12/18 16:58,Dec 19 2018  4:58PM,Dec 19 2018  4:58PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.437909,-97.691254
1363741,17/09/18 08:11,Sep 17 2018  8:11AM,Sep 17 2018  8:11AM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.43794,-97.683485
1706150,17/02/18 13:53,Feb 17 2018  1:53PM,Feb 17 2018  1:53PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.437948,-97.698893
1536825,05/10/18 22:53,Oct  5 2018 10:53PM,Oct  5 2018 10:53PM,Unknown Trouble,AOK- All OK,1,19/02/19 12:14,30.437975,-97.665729
1045372,31/03/18 00:19,Mar 31 2018  1:19AM,Mar 31 2018  1:19AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43798,-97.688575
1049747,27/05/18 21:47,May 27 2018  9:47PM,May 27 2018  9:47PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.43798,-97.686395
1078565,22/05/18 23:41,May 22 2018 11:41PM,May 22 2018 11:41PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43798,-97.684865
1277077,15/11/18 09:01,Nov 15 2018  9:01AM,Nov 15 2018  9:01AM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.43802,-97.687475
1279205,24/11/18 21:48,Nov 24 2018  9:48PM,Nov 24 2018  9:48PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43802,-97.627815
1124985,30/11/18 15:24,Nov 30 2018  3:24PM,Nov 30 2018  3:24PM,Property Damage Accident,,2,19/02/19 12:14,30.438081,-97.721778
1751389,17/02/18 08:17,Feb 17 2018  8:17AM,Feb 17 2018  8:17AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43817,-97.626985
1264299,02/12/18 21:46,Dec  2 2018  9:46PM,Dec  2 2018  9:46PM,Suspicious Vehicle,AOK- All OK,2,19/02/19 12:14,30.438179,-97.63186
1251538,01/10/18 15:22,Oct  1 2018  3:22PM,Oct  1 2018  3:22PM,Domestic,RPT-Report,2,19/02/19 12:14,30.438194,-97.62845
1013129,11/06/18 14:52,Jun 11 2018  2:52PM,Jun 11 2018  2:52PM,Check the Welfare,ADV-Advised,1,19/02/19 12:14,30.438197,-97.627141
1233881,12/04/18 18:21,Apr 12 2018  6:21PM,Apr 12 2018  6:21PM,Traffic Law Enforcement,BKG-Booking,4,19/02/19 12:14,30.438198,-97.625923
1056198,22/06/18 20:37,Jun 22 2018  8:37PM,Jun 22 2018  8:37PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43823,-97.626385
1098596,16/07/18 22:34,Jul 16 2018 10:34PM,Jul 16 2018 10:34PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43848,-97.681035
1268545,23/02/18 07:51,Feb 23 2018  7:51AM,Feb 23 2018  7:51AM,Walk Through a Building,INF-Information,2,19/02/19 12:14,30.43851,-97.626255
1538427,18/09/18 12:41,Sep 18 2018 12:41PM,Sep 18 2018 12:41PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.43852,-97.618615
1394914,09/11/18 11:42,Nov  9 2018 11:42AM,Nov  9 2018 11:42AM,Check the Welfare,AOK- All OK,2,19/02/19 12:14,30.438663,-97.627141
1402606,27/11/18 10:04,Nov 27 2018 10:04AM,Nov 27 2018 10:04AM,Domestic Abuse Report Only,RPT-Report,2,19/02/19 12:14,30.438663,-97.627141
1722703,22/02/18 14:59,Feb 22 2018  2:59PM,Feb 22 2018  2:59PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43869,-97.697685
1621039,01/09/18 18:39,Sep  1 2018  6:39PM,Sep  1 2018  6:39PM,Kidnapping/Abduction,BKG-Booking,1,19/02/19 12:14,30.438945,-97.62714
1496930,11/06/18 16:02,Jun 11 2018  4:02PM,Jun 11 2018  4:02PM,Customer Trouble,GOA-Gone on Arrival,2,19/02/19 12:14,30.438969,-97.626011
1599918,15/08/18 22:30,Aug 15 2018 10:30PM,Aug 15 2018 10:30PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.43899,-97.692315
1093960,26/11/18 21:27,Nov 26 2018  9:27PM,Nov 26 2018  9:27PM,Person with a Weapon,GOA-Gone on Arrival,1,19/02/19 12:14,30.439019,-97.62714
1436367,30/07/18 23:26,Jul 30 2018 11:26PM,Jul 30 2018 11:26PM,Burglary Dwlng In Progress,AOK- All OK,1,19/02/19 12:14,30.439019,-97.62714
1753800,14/04/18 06:36,Apr 14 2018  6:36AM,Apr 14 2018  6:36AM,Person with a Gun,AST-Assist,1,19/02/19 12:14,30.439077,-97.682329
1293136,23/02/18 23:16,Feb 23 2018 11:16PM,Feb 23 2018 11:16PM,DWI Court-Home Visit,AOK- All OK,4,19/02/19 12:14,30.43916,-97.683603
1552925,04/07/18 14:17,Jul  4 2018  2:17PM,Jul  4 2018  2:17PM,Domestic,TRN-Transport,2,19/02/19 12:14,30.439287,-97.681053
1827517,17/11/18 17:56,Nov 17 2018  5:56PM,Nov 17 2018  5:56PM,Suspicious Vehicle,AOK- All OK,2,19/02/19 12:14,30.439608,-97.679782
1823768,03/06/18 03:02,Jun  3 2018  3:02AM,Jun  3 2018  3:02AM,Suspicious Person,GOA-Gone on Arrival,2,19/02/19 12:14,30.439681,-97.611882
1134599,22/08/18 21:15,Aug 22 2018  9:15PM,Aug 22 2018  9:15PM,Suspicious Person,SNT-Sent,2,19/02/19 12:14,30.439746,-97.686152
1703290,12/01/18 12:15,Jan 12 2018 12:15PM,Jan 12 2018 12:15PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.439764,-97.682329
1047687,04/04/18 10:00,Apr  4 2018 10:00AM,Apr  4 2018 10:00AM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.44028,-97.681095
1379964,17/03/18 20:57,Mar 17 2018  8:57PM,Mar 17 2018  8:57PM,Retrieve Prop/Dom Situation,RPT-Report,3,19/02/19 12:14,30.440446,-97.627575
1793656,27/05/18 01:38,May 27 2018  1:38AM,May 27 2018  1:38AM,Suspicious Person,ADV-Advised,2,19/02/19 12:14,30.440695,-97.69119
1208658,01/08/18 11:47,Aug  1 2018 11:47AM,Aug  1 2018 11:47AM,Miscellaneous,INS-Inservice,3,19/02/19 12:14,30.44074,-97.625915
1067849,06/06/18 09:13,Jun  6 2018  9:13AM,Jun  6 2018  9:13AM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.44098,-97.651865
1763328,06/09/18 12:41,Sep  6 2018 12:41PM,Sep  6 2018 12:41PM,Down Outside-One,AST-Assist,1,19/02/19 12:14,30.441,-97.69121
1789137,28/04/18 20:32,Apr 28 2018  8:32PM,Apr 28 2018  8:32PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.441092,-97.681054
1459346,19/08/18 19:45,Aug 19 2018  7:45PM,Aug 19 2018  7:45PM,Assist Fire Personnel,AST-Assist,1,19/02/19 12:14,30.441322,-97.679779
1545168,29/09/18 08:35,Sep 29 2018  8:35AM,Sep 29 2018  8:35AM,Audible Residential Alarm,,1,19/02/19 12:14,30.441467,-97.687425
1307489,06/01/18 08:55,Jan  6 2018  8:55AM,Jan  6 2018  8:55AM,Miscellaneous,INF-Information,3,19/02/19 12:14,30.441544,-97.693794
1127884,09/01/18 23:09,Jan  9 2018 11:09PM,Jan  9 2018 11:09PM,Miscellaneous,TRN-Transport,3,19/02/19 12:14,30.44155,-97.678504
1392191,04/11/18 19:30,Nov  4 2018  7:30PM,Nov  4 2018  7:30PM,Sound of Shots Fired,,1,19/02/19 12:14,30.441568,-97.686153
1763845,16/09/18 18:29,Sep 16 2018  6:29PM,Sep 16 2018  6:29PM,Suspicious Vehicle,TAG-Tagged,2,19/02/19 12:14,30.44159,-97.702475
1615023,28/08/18 01:47,Aug 28 2018  1:47AM,Aug 28 2018  1:47AM,Damage Property-In Progress,,1,19/02/19 12:14,30.441632,-97.669318
1499907,14/06/18 12:43,Jun 14 2018 12:43PM,Jun 14 2018 12:43PM,Emotionally Disturb Person,AST-Assist,1,19/02/19 12:14,30.441636,-97.716686
1370681,24/06/18 09:45,Jun 24 2018  9:45AM,Jun 24 2018  9:45AM,Retrieve Prop/Dom Situation,CNL-Cancel,3,19/02/19 12:14,30.441679,-97.659356
1366214,23/09/18 14:44,Sep 23 2018  2:44PM,Sep 23 2018  2:44PM,Theft,RPT-Report,1,19/02/19 12:14,30.441747,-97.721844
1313865,25/03/18 16:08,Mar 25 2018  4:08PM,Mar 25 2018  4:08PM,Suspicious Vehicle,GOA-Gone on Arrival,2,19/02/19 12:14,30.44177,-97.636572
1527491,01/09/18 04:32,Sep  1 2018  4:32AM,Sep  1 2018  4:32AM,Property Damage/Hit & Run,RPT-Report,2,19/02/19 12:14,30.44177,-97.636572
1604402,19/08/18 17:12,Aug 19 2018  5:12PM,Aug 19 2018  5:12PM,Person with a Gun,RPR-Reprimand/Release,1,19/02/19 12:14,30.44183,-97.619505
1098653,06/07/18 01:47,Jul  6 2018  1:47AM,Jul  6 2018  1:47AM,Suspicious Vehicle,INF-Information,2,19/02/19 12:14,30.44184,-97.712855
1004417,24/04/18 16:39,Apr 24 2018  4:39PM,Apr 24 2018  4:39PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44196,-97.625955
1053111,02/06/18 04:16,Jun  2 2018  4:16AM,Jun  2 2018  4:16AM,Suspicious Person,TRN-Transport,2,19/02/19 12:14,30.442667,-97.665633
1376110,28/06/18 12:26,Jun 28 2018 12:26PM,Jun 28 2018 12:26PM,Audible Residential Alarm,FAL-False,1,19/02/19 12:14,30.442876,-97.640381
1263012,01/12/18 13:04,Dec  1 2018  1:04PM,Dec  1 2018  1:04PM,Theft - Report Only,RPT-Report,3,19/02/19 12:14,30.443077,-97.635287
1764339,24/09/18 20:45,Sep 24 2018  8:45PM,Sep 24 2018  8:45PM,Domestic,ADV-Advised,2,19/02/19 12:14,30.443119,-97.613117
1167629,15/12/18 13:51,Dec 15 2018  1:51PM,Dec 15 2018  1:51PM,Audible Residential Alarm,FAL-False,1,19/02/19 12:14,30.443272,-97.664366
1042545,12/04/18 23:17,Apr 12 2018 11:17PM,Apr 12 2018 11:17PM,Traffic Law Enforcement,BKG-Booking,4,19/02/19 12:14,30.443355,-97.691274
1669603,17/12/18 01:09,Dec 17 2018  1:09AM,Dec 17 2018  1:09AM,Assist Other Agency,AST-Assist,2,19/02/19 12:14,30.443391,-97.706517
1655225,30/10/18 06:37,Oct 30 2018  6:37AM,Oct 30 2018  6:37AM,Unknown Trouble,AOK- All OK,1,19/02/19 12:14,30.443435,-97.61439
1050875,29/05/18 10:24,May 29 2018 10:24AM,May 29 2018 10:24AM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.44351,-97.715425
1371216,24/06/18 17:53,Jun 24 2018  5:53PM,Jun 24 2018  5:53PM,Miscellaneous,INF-Information,3,19/02/19 12:14,30.443568,-97.67725
1505325,30/06/18 17:37,Jun 30 2018  5:37PM,Jun 30 2018  5:37PM,Walk Through a Building,AOK- All OK,2,19/02/19 12:14,30.443699,-97.672756
1738883,21/03/18 16:13,Mar 21 2018  4:13PM,Mar 21 2018  4:13PM,Suspicious Person,ADV-Advised,2,19/02/19 12:14,30.443709,-97.678485
1828048,05/06/18 09:47,Jun  5 2018  9:47AM,Jun  5 2018  9:47AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44413,-97.709085
1212806,03/09/18 14:29,Sep  3 2018  2:29PM,Sep  3 2018  2:29PM,Walk Through a Building,AOK- All OK,2,19/02/19 12:14,30.44413,-97.691405
1561179,06/07/18 14:19,Jul  6 2018  2:19PM,Jul  6 2018  2:19PM,Assist-Public,INS-Inservice,3,19/02/19 12:14,30.444142,-97.68105
1616157,28/08/18 23:13,Aug 28 2018 11:13PM,Aug 28 2018 11:13PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44431,-97.704015
1688389,27/12/18 06:53,Dec 27 2018  6:53AM,Dec 27 2018  6:53AM,Business Check (P),,4,19/02/19 12:14,30.44436,-97.681895
1689543,13/05/18 23:44,May 13 2018 11:44PM,May 13 2018 11:44PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.444808,-97.686152
1513725,04/10/18 05:19,Oct  4 2018  5:19AM,Oct  4 2018  5:19AM,Audible Business Alarm,,1,19/02/19 12:14,30.444821,-97.681047
1422484,07/01/18 22:33,Jan  7 2018 10:33PM,Jan  7 2018 10:33PM,Threats,ADV-Advised,2,19/02/19 12:14,30.444835,-97.630167
1753682,10/04/18 08:34,Apr 10 2018  8:34AM,Apr 10 2018  8:34AM,Assist EMS Personnel,AST-Assist,1,19/02/19 12:14,30.444859,-97.695068
1383048,24/03/18 00:16,Mar 24 2018 12:16AM,Mar 24 2018 12:16AM,Burglary Biz - In Progress,RPT-Report,1,19/02/19 12:14,30.444921,-97.681047
1263025,01/12/18 13:34,Dec  1 2018  1:34PM,Dec  1 2018  1:34PM,Threats,RPT-Report,2,19/02/19 12:14,30.445007,-97.674593
1815220,21/05/18 14:24,May 21 2018  2:24PM,May 21 2018  2:24PM,Suspicious Vehicle,UNF-Unfounded,2,19/02/19 12:14,30.445164,-97.691252
1703029,11/01/18 23:20,Jan 11 2018 11:20PM,Jan 11 2018 11:20PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44517,-97.692522
1634156,23/09/18 21:33,Sep 23 2018  9:33PM,Sep 23 2018  9:33PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.44518,-97.707395
1157962,10/09/18 23:19,Sep 10 2018 11:19PM,Sep 10 2018 11:19PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44519,-97.700405
1106080,03/08/18 22:12,Aug  3 2018 10:12PM,Aug  3 2018 10:12PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.445248,-97.681046
1714806,06/02/18 14:44,Feb  6 2018  2:44PM,Feb  6 2018  2:44PM,Traffic Law Enforcement,AST-Assist,4,19/02/19 12:14,30.44526,-97.707135
1629276,14/09/18 04:45,Sep 14 2018  4:45AM,Sep 14 2018  4:45AM,Suspicious Person,SNT-Sent,2,19/02/19 12:14,30.445266,-97.717534
1147178,30/08/18 16:58,Aug 30 2018  4:58PM,Aug 30 2018  4:58PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.44527,-97.703415
1305502,30/01/18 21:28,Jan 30 2018  9:28PM,Jan 30 2018  9:28PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44543,-97.703325
1089575,26/07/18 23:07,Jul 26 2018 11:07PM,Jul 26 2018 11:07PM,Traffic Law Enforcement,AOK- All OK,4,19/02/19 12:14,30.445458,-97.619471
1274107,10/11/18 11:34,Nov 10 2018 11:34AM,Nov 10 2018 11:34AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44546,-97.606291
1207287,27/07/18 23:26,Jul 27 2018 11:26PM,Jul 27 2018 11:26PM,Disturbance,UTL-Unable to Locate,2,19/02/19 12:14,30.44547,-97.613096
1747500,27/11/18 08:29,Nov 27 2018  8:29AM,Nov 27 2018  8:29AM,Walk Through a Building,INS-Inservice,2,19/02/19 12:14,30.44553,-97.690775
1168783,19/12/18 17:01,Dec 19 2018  5:01PM,Dec 19 2018  5:01PM,Property Damage/Hit & Run,RPT-Report,2,19/02/19 12:14,30.446117,-97.665583
1457286,25/04/18 21:47,Apr 25 2018  9:47PM,Apr 25 2018  9:47PM,Robbery of Biz In Progress,RPT-Report,0,19/02/19 12:14,30.446358,-97.691243
1758994,05/05/18 20:44,May  5 2018  8:44PM,May  5 2018  8:44PM,Retrieve Prop/Dom Situation,AST-Assist,3,19/02/19 12:14,30.446748,-97.607328
1148738,11/09/18 23:15,Sep 11 2018 11:15PM,Sep 11 2018 11:15PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44677,-97.625855
1814376,20/05/18 20:28,May 20 2018  8:28PM,May 20 2018  8:28PM,Receive Information,RPT-Report,3,19/02/19 12:14,30.446817,-97.730685
1780026,07/04/18 14:03,Apr  7 2018  2:03PM,Apr  7 2018  2:03PM,Check the Welfare,AOK- All OK,2,19/02/19 12:14,30.446825,-97.73196
1589155,22/07/18 17:37,Jul 22 2018  5:37PM,Jul 22 2018  5:37PM,Suspicious Person,GOA-Gone on Arrival,2,19/02/19 12:14,30.447006,-97.70652
1458927,18/08/18 22:32,Aug 18 2018 10:32PM,Aug 18 2018 10:32PM,Sound of Shots Fired,AQT-All Quiet,1,19/02/19 12:14,30.447064,-97.678441
1395789,11/11/18 07:00,Nov 11 2018  7:00AM,Nov 11 2018  7:00AM,Theft - Report Only,RPT-Report,3,19/02/19 12:14,30.447097,-97.674734
1420552,31/12/18 15:45,Dec 31 2018  3:45PM,Dec 31 2018  3:45PM,Property Damage/Hit & Run,ADV-Advised,2,19/02/19 12:14,30.447263,-97.622003
1381407,20/03/18 19:10,Mar 20 2018  7:10PM,Mar 20 2018  7:10PM,Fight,AOK- All OK,1,19/02/19 12:14,30.447302,-97.631288
1523898,25/08/18 05:06,Aug 25 2018  5:06AM,Aug 25 2018  5:06AM,Prowler,GOA-Gone on Arrival,2,19/02/19 12:14,30.447564,-97.607655
1191708,14/02/18 22:30,Feb 14 2018 10:30PM,Feb 14 2018 10:30PM,Narcotics Activity,GOA-Gone on Arrival,2,19/02/19 12:14,30.447843,-97.691247
1363967,17/09/18 12:24,Sep 17 2018 12:24PM,Sep 17 2018 12:24PM,Down Outside-One w/Fire,BKG-Booking,1,19/02/19 12:14,30.448104,-97.605527
1096496,02/07/18 06:32,Jul  2 2018  6:32AM,Jul  2 2018  6:32AM,Audible Residential Alarm,,1,19/02/19 12:14,30.448124,-97.614346
1012860,11/06/18 10:56,Jun 11 2018 10:56AM,Jun 11 2018 10:56AM,Suspicious Person,GOA-Gone on Arrival,2,19/02/19 12:14,30.44816,-97.633967
1515935,04/10/18 18:13,Oct  4 2018  6:13PM,Oct  4 2018  6:13PM,Retrieve Prop/Dom Situation,AST-Assist,3,19/02/19 12:14,30.44834,-97.610516
1437299,01/08/18 17:54,Aug  1 2018  5:54PM,Aug  1 2018  5:54PM,Theft - Report Only,AOK- All OK,2,19/02/19 12:14,30.448484,-97.611794
1785194,16/11/18 22:56,Nov 16 2018 10:56PM,Nov 16 2018 10:56PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.448664,-97.62582
1432590,03/02/18 19:50,Feb  3 2018  7:50PM,Feb  3 2018  7:50PM,Domestic Abuse Report Only,,2,19/02/19 12:14,30.448735,-97.705253
1685042,29/05/18 12:58,May 29 2018 12:58PM,May 29 2018 12:58PM,Audible Residential Alarm,FAL-False,1,19/02/19 12:14,30.448858,-97.696507
1445919,01/04/18 12:09,Apr  1 2018 12:09PM,Apr  1 2018 12:09PM,Damage Property-Rpt Only,RPT-Report,3,19/02/19 12:14,30.448868,-97.636491
1794015,27/05/18 13:21,May 27 2018  1:21PM,May 27 2018  1:21PM,Down Outside-One,AST-Assist,1,19/02/19 12:14,30.448969,-97.632677
1241712,18/12/18 14:32,Dec 18 2018  2:32PM,Dec 18 2018  2:32PM,Suspicious Vehicle,INS-Inservice,2,19/02/19 12:14,30.44899,-97.625805
1307115,09/02/18 22:33,Feb  9 2018 10:33PM,Feb  9 2018 10:33PM,Traffic Law Enforcement,TAG-Tagged,4,19/02/19 12:14,30.449033,-97.635209
1656742,06/11/18 22:01,Nov  6 2018 10:01PM,Nov  6 2018 10:01PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44913,-97.726905
1716820,09/02/18 03:28,Feb  9 2018  3:28AM,Feb  9 2018  3:28AM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44923,-97.721855
1002658,18/04/18 12:49,Apr 18 2018 12:49PM,Apr 18 2018 12:49PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44957,-97.625805
1558160,27/03/18 16:40,Mar 27 2018  4:40PM,Mar 27 2018  4:40PM,Traffic Law Enforcement,ADV-Advised,4,19/02/19 12:14,30.44965,-97.721855
1238840,14/04/18 22:39,Apr 14 2018 10:39PM,Apr 14 2018 10:39PM,Emotionally Disturb Person,TRN-Transport,1,19/02/19 12:14,30.449753,-97.720525
1537070,06/10/18 02:03,Oct  6 2018  2:03AM,Oct  6 2018  2:03AM,Emotionally Disturb Person,RPT-Report,1,19/02/19 12:14,30.449753,-97.720525
