APN,PERMITID,TYPE,PERMIT,DECISION,LIQUOR_TYPE,STATUS,ISSUEDATE,EXPIRE_YEAR,EXPIRE_DATE,ESTABLISHMENT_NUM,ESTABLISHMENT_NAME,TYPE_DESCRIPTION,ADDRESS,ZIP,StartDate,EndDate,LATITUDE,LONGITUDE,LastUpdateDate
5000622,20622,"L216",20622,"NEW","ON Sale","OPEN","11/04/2017 08:46:00 AM",2019,"11/04/2019 08:46:00 AM",400622,"Business 12023540","LIQ ON-SALE E W/SS SERIES 4000","LYNDA SUE ST",78681,"11/04/2017 08:46 AM","04/11/2019 08:46:00 AM",30.48923,-97.691465,19/02/19 14:40
5000009,20009,"L247",20009,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400009,"Business 726501156","WINE E W/STRONG BEER","LOUIS HENNA BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.48819,-97.636375,19/02/19 14:40
5000013,20013,"L246",20013,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400013,"Business 261538911","WINE D W/STRONG BEER","S A W GRIMES BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.47945,-97.642075,19/02/19 14:40
5000019,20019,"L171",20019,"APPROVED","Off Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400019,"Business 1568521453","LIQ OFF-SALE SERIES 2000","OXFORD BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.48815,-97.664615,19/02/19 14:40
5000025,20025,"L242",20025,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400025,"Business 1099182812","WINE A W/STRONG BEER","COOPER WAY",78681,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.48822,-97.690255,19/02/19 14:40
5000026,20026,"L242",20026,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400026,"Business 748079357","WINE A W/STRONG BEER","COOPER WAY",78681,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.48714,-97.690645,19/02/19 14:40
5000031,20031,"L192",20031,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400031,"Business 1273650185","LIQ ON-SALE C-2 W/SS SERIES 2000","W LOUIS HENNA BLVD",78728,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.47942,-97.680485,19/02/19 14:40
5000033,20033,"L196",20033,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400033,"Business 2133227762","LIQ ON-SALE E W/SS SERIES 2000","LYNDA SUE ST",78681,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.48809,-97.691425,19/02/19 14:40
5000044,20044,"L242",20044,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400044,"Business 1373718579","WINE A W/STRONG BEER","E MESSICK LOOP",78681,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.48755,-97.700215,19/02/19 14:40
5000045,20045,"L196",20045,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400045,"Business 463058415","LIQ ON-SALE E W/SS SERIES 2000","MCNEIL RD",78681,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.48823,-97.698065,19/02/19 14:40
5000054,20054,"L226",20054,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400054,"Business 1583819488","BEER CL E ON SALE","SERVICE",78628,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.57146,-97.698345,19/02/19 14:40
5000066,20066,"L231",20066,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400066,"Business 787272694","BEER BOTTLE CLUB ON SALE"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.47457,-97.626525,19/02/19 14:40
5000068,20068,"L247",20068,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400068,"Business 2091214060","WINE E W/STRONG BEER","HILL ST",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.47988,-97.616085,19/02/19 14:40
5000072,20072,"L226",20072,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400072,"Business 96731752","BEER CL E ON SALE"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.45997,-97.625505,19/02/19 14:40
5000075,20075,"L246",20075,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400075,"Business 1883317664","WINE D W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46119,-97.731685,19/02/19 14:40
5000079,20079,"L246",20079,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400079,"Business 847169512","WINE D W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46316,-97.726635,19/02/19 14:40
5000081,20081,"L247",20081,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400081,"Business 124659181","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46476,-97.717035,19/02/19 14:40
5000082,20082,"L247",20082,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400082,"Business 1587496385","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46507,-97.717965,19/02/19 14:40
5000083,20083,"L247",20083,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400083,"Business 108094898","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46498,-97.718315,19/02/19 14:40
5000084,20084,"L247",20084,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400084,"Business 427832978","WINE E W/STRONG BEER","RM 1431",78681,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.55353,-97.717915,19/02/19 14:40
5000093,20093,"L246",20093,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400093,"Business 1509764182","WINE D W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.45985,-97.687035,19/02/19 14:40
5000094,20094,"L247",20094,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400094,"Business 727605","WINE E W/STRONG BEER","MICHAEL ANGELO WAY",78728,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46528,-97.680485,19/02/19 14:40
5000096,20096,"L245",20096,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400096,"Business 1481131755","WINE C-2 W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46282,-97.680495,19/02/19 14:40
5000101,20101,"L196",20101,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400101,"Business 971330972","LIQ ON-SALE E W/SS SERIES 2000","INDIAN MEADOWS DR",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.54963,-97.675095,19/02/19 14:40
5000105,20105,"L246",20105,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400105,"Business 820991783","WINE D W/STRONG BEER","GREENLAWN BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.47408,-97.665045,19/02/19 14:40
5000108,20108,"L196",20108,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400108,"Business 329297354","LIQ ON-SALE E W/SS SERIES 2000","PIKE PATH",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.55338,-97.664835,19/02/19 14:40
5000116,20116,"L247",20116,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400116,"Business 232833956","WINE E W/STRONG BEER","N A W GRIMES BLVD",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.55298,-97.650705,19/02/19 14:40
5000120,20120,"L226",20120,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400120,"Business 1722861049","BEER CL E ON SALE"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.46053,-97.646945,19/02/19 14:40
5000124,20124,"L245",20124,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400124,"Business 1559627038","WINE C-2 W/STRONG BEER","AVERY-NELSON PKWY",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.56031,-97.649765,19/02/19 14:40
5000140,20140,"L247",20140,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400140,"Business 1024164311","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.4571,-97.650645,19/02/19 14:40
5000142,20142,"L247",20142,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400142,"Business 429430271","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.45648,-97.665985,19/02/19 14:40
5000171,20171,"L171",20171,"APPROVED","Off Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400171,"Business 243326219","LIQ OFF-SALE SERIES 2000","ARANSAS CV",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.5344,-97.655015,19/02/19 14:40
5000190,20190,"L247",20190,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400190,"Business 163053229","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.45224,-97.711395,19/02/19 14:40
5000191,20191,"L247",20191,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400191,"Business 1896553687","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.45223,-97.693395,19/02/19 14:40
5000199,20199,"L247",20199,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400199,"Business 1461092832","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.4528,-97.729085,19/02/19 14:40
5000210,20210,"L247",20210,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400210,"Business 135138516","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.45235,-97.625365,19/02/19 14:40
5000212,20212,"L247",20212,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400212,"Business 1562219142","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.45239,-97.626555,19/02/19 14:40
5000214,20214,"L188",20214,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400214,"Business 861897302","LIQ ON-SALE A W/SS SERIES 2000","T C OATTS LN",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.54249,-97.615955,19/02/19 14:40
5000219,20219,"L247",20219,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400219,"Business 2037086433","WINE E W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.44194,-97.721415,19/02/19 14:40
5000222,20222,"L221",20222,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400222,"Business 1475222052","WINE ON SALE CLASS E"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.43416,-97.693135,19/02/19 14:40
5000223,20223,"L221",20223,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400223,"Business 1349497719","WINE ON SALE CLASS E"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.43416,-97.693135,19/02/19 14:40
5000224,20224,"L190",20224,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400224,"Business 1385966651","LIQ ON-SALE B W/SS SERIES 2000","CHISHOLM CV",78681,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52105,-97.691805,19/02/19 14:40
5000226,20226,"L246",20226,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400226,"Business 1705650136","WINE D W/STRONG BEER"," "," ","12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.44503,-97.680725,19/02/19 14:40
5000228,20228,"L242",20228,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400228,"Business 978160628","WINE A W/STRONG BEER","EGGER AVE",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52967,-97.677285,19/02/19 14:40
5000242,20242,"L195",20242,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400242,"Business 296394186","LIQ ON-SALE E SERIES 2000","HEATHER DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52626,-97.677075,19/02/19 14:40
5000246,20246,"L196",20246,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400246,"Business 2146554902","LIQ ON-SALE E W/SS SERIES 2000","W MESA PARK DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52487,-97.671825,19/02/19 14:40
5000247,20247,"L171",20247,"APPROVED","Off Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400247,"Business 540137369","LIQ OFF-SALE SERIES 2000","DENNIS DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52461,-97.674845,19/02/19 14:40
5000248,20248,"L192",20248,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400248,"Business 1766472500","LIQ ON-SALE C-2 W/SS SERIES 2000","DENNIS DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.5248,-97.674695,19/02/19 14:40
5000251,20251,"L247",20251,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400251,"Business 1379806764","WINE E W/STRONG BEER","EASTON DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52957,-97.681685,19/02/19 14:40
5000275,20275,"L188",20275,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400275,"Business 1397439440","LIQ ON-SALE A W/SS SERIES 2000","ROBB LN",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52297,-97.678315,19/02/19 14:40
5000276,20276,"L190",20276,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400276,"Business 1368801884","LIQ ON-SALE B W/SS SERIES 2000","W OAK DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52138,-97.676255,19/02/19 14:40
5000279,20279,"L196",20279,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400279,"Business 35715371","LIQ ON-SALE E W/SS SERIES 2000","DENNIS DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52412,-97.676735,19/02/19 14:40
5000288,20288,"L235",20288,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400288,"Business 1647874883","LIQ ON-SALE C-1 W/SS SERIES 2000","E PALM VALLEY BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51958,-97.676955,19/02/19 14:40
5000321,20321,"L188",20321,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400321,"Business 685539191","LIQ ON-SALE A W/SS SERIES 2000","W OAK DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52004,-97.675565,19/02/19 14:40
5000335,20335,"L244",20335,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400335,"Business 1450578543","WINE C-1 W/STRONG BEER","BLUEBONNET DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52956,-97.654215,19/02/19 14:40
5000342,20342,"L247",20342,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400342,"Business 223498483","WINE E W/STRONG BEER","VERBENA WAY",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52976,-97.656435,19/02/19 14:40
5000352,20352,"L247",20352,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400352,"Business 80881829","WINE E W/STRONG BEER","PRAIRIE STAR LN",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52806,-97.658555,19/02/19 14:40
5000384,20384,"L196",20384,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400384,"Business 1098638759","LIQ ON-SALE E W/SS SERIES 2000","E PALM VALLEY BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51788,-97.662825,19/02/19 14:40
5000387,20387,"L247",20387,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400387,"Business 1471903688","WINE E W/STRONG BEER","HIDDEN ACRES DR",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52381,-97.651095,19/02/19 14:40
5000394,20394,"L247",20394,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400394,"Business 1662611580","WINE E W/STRONG BEER","E PALM VALLEY BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51803,-97.660285,19/02/19 14:40
5000403,20403,"L247",20403,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400403,"Business 1025392478","WINE E W/STRONG BEER","SERVICE",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.5209,-97.638765,19/02/19 14:40
5000408,20408,"L190",20408,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400408,"Business 1077891855","LIQ ON-SALE B W/SS SERIES 2000","S KENNEY FORT BLVD",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.52013,-97.639435,19/02/19 14:40
5000415,20415,"L226",20415,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400415,"Business 1733104441","BEER CL E ON SALE","RAVENWOOD DR",78665,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.5134,-97.632825,19/02/19 14:40
5000422,20422,"L235",20422,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400422,"Business 1092279548","LIQ ON-SALE C-1 W/SS SERIES 2000","SILVERLEAF LN",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.50887,-97.649865,19/02/19 14:40
5000424,20424,"L171",20424,"APPROVED","Off Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400424,"Business 914391977","LIQ OFF-SALE SERIES 2000","LOGAN DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.50728,-97.649875,19/02/19 14:40
5000434,20434,"L192",20434,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400434,"Business 975220009","LIQ ON-SALE C-2 W/SS SERIES 2000","SUGAR BERRY CV",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51348,-97.650755,19/02/19 14:40
5000439,20439,"L196",20439,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400439,"Business 15151501","LIQ ON-SALE E W/SS SERIES 2000","E PALM VALLEY BLVD",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51624,-97.658875,19/02/19 14:40
5000454,20454,"L242",20454,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400454,"Business 1752137868","WINE A W/STRONG BEER","RAINTREE PATH",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.50948,-97.650535,19/02/19 14:40
5000458,20458,"L196",20458,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400458,"Business 1823774782","LIQ ON-SALE E W/SS SERIES 2000","N GEORGETOWN ST",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51581,-97.671885,19/02/19 14:40
5000470,20470,"L195",20470,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400470,"Business 2028296197","LIQ ON-SALE E SERIES 2000","BRUSHY CREEK DR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51437,-97.670605,19/02/19 14:40
5000471,20471,"L188",20471,"PENDING","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400471,"Business 400518004","LIQ ON-SALE A W/SS SERIES 2000","HERITAGE CENTER CIR",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51634,-97.674435,19/02/19 14:40
5000472,20472,"L190",20472,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400472,"Business 1666756537","LIQ ON-SALE B W/SS SERIES 2000","N GEORGETOWN ST",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51627,-97.672685,19/02/19 14:40
5000477,20477,"L190",20477,"APPROVED","ON Sale","OPEN","12/04/2017 12:00:00 AM",2019,"12/04/2019 12:00:00 AM",400477,"Business 1179482183","LIQ ON-SALE B W/SS SERIES 2000","SERVICE",78664,"12/04/2017 12:00:00 AM","04/12/2019 12:00:00 AM",30.51612,-97.679865,19/02/19 14:40
